Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
18,FrequencyV3St2,Caatinga,1985,73.08,4.41,22.51,20.91,1.6
18,FrequencyV3St2,Caatinga,1986,73.18,3.22,23.599999999999994,21.84,1.77
18,FrequencyV3St2,Caatinga,1987,74.32,4.04,21.640000000000008,19.36,2.28
18,FrequencyV3St2,Caatinga,1988,74.56,4.3,21.139999999999997,18.77,2.36
18,FrequencyV3St2,Caatinga,1989,74.67,4.49,20.839999999999996,18.31,2.54
18,FrequencyV3St2,Caatinga,1990,74.34,4.51,21.15,18.97,2.18
18,FrequencyV3St2,Caatinga,1991,74.32,4.04,21.640000000000008,19.18,2.46
18,FrequencyV3St2,Caatinga,1992,73.86,3.28,22.86,20.24,2.62
18,FrequencyV3St2,Caatinga,1993,74.07,3.4,22.53000000000001,20.49,2.06
18,FrequencyV3St2,Caatinga,1994,74.19,3.39,22.42,20.17,2.26
18,FrequencyV3St2,Caatinga,1995,74.12,3.34,22.539999999999996,20.78,1.76
18,FrequencyV3St2,Caatinga,1996,73.77,3.36,22.870000000000005,21.34,1.53
18,FrequencyV3St2,Caatinga,1997,73.87,3.24,22.889999999999993,21.74,1.15
18,FrequencyV3St2,Caatinga,1998,74.02,3.27,22.710000000000004,22.04,0.66
18,FrequencyV3St2,Caatinga,1999,74.2,3.2,22.599999999999998,21.82,0.79
18,FrequencyV3St2,Caatinga,2000,74.12,3.17,22.709999999999994,21.86,0.84
18,FrequencyV3St2,Caatinga,2001,74.25,3.25,22.5,21.66,0.85
18,FrequencyV3St2,Caatinga,2002,74.45,3.25,22.299999999999997,21.52,0.78
18,FrequencyV3St2,Caatinga,2003,74.19,3.38,22.430000000000003,21.56,0.87
18,FrequencyV3St2,Caatinga,2004,74.35,3.14,22.510000000000005,21.54,0.97
18,FrequencyV3St2,Caatinga,2005,74.17,3.18,22.65,21.5,1.15
18,FrequencyV3St2,Caatinga,2006,74.01,3.26,22.729999999999997,21.23,1.5
18,FrequencyV3St2,Caatinga,2007,74.43,3.28,22.289999999999992,20.65,1.66
18,FrequencyV3St2,Caatinga,2008,74.41,3.24,22.35,20.6,1.74
18,FrequencyV3St2,Caatinga,2009,74.58,3.25,22.17,20.37,1.8
18,FrequencyV3St2,Caatinga,2010,74.9,3.42,21.679999999999993,20.33,1.36
18,FrequencyV3St2,Caatinga,2011,75.16,3.26,21.580000000000005,20.48,1.09
18,FrequencyV3St2,Caatinga,2012,76.01,3.24,20.749999999999993,20.08,0.67
18,FrequencyV3St2,Caatinga,2013,76.13,3.18,20.690000000000005,19.13,1.56
18,FrequencyV3St2,Caatinga,2014,75.96,3.13,20.910000000000007,19.32,1.6
18,FrequencyV3St2,Caatinga,2015,75.75,3.1,21.15,19.47,1.68
18,FrequencyV3St2,Caatinga,2016,75.54,3.16,21.299999999999994,19.54,1.76
18,FrequencyV3St2,Caatinga,2017,75.34,3.34,21.319999999999997,19.26,2.08
18,FrequencyV3St2,Caatinga,2018,75.24,3.1,21.660000000000004,19.72,1.94
18,FrequencyV3St2,Caatinga,2019,75.19,3.04,21.770000000000003,20.02,1.76
18,FrequencyV3St2,Caatinga,2020,75.14,3.7,21.16,19.12,2.05
