Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
30,FrequencyV3,Caatinga,1985,70.25,7.64,22.11,21.36,0.74
30,FrequencyV3,Caatinga,1986,71.67,4.94,23.389999999999997,22.52,0.87
30,FrequencyV3,Caatinga,1987,72.91,4.52,22.570000000000004,21.52,1.04
30,FrequencyV3,Caatinga,1988,71.74,4.73,23.530000000000005,22.37,1.14
30,FrequencyV3,Caatinga,1989,71.01,5.9,23.089999999999996,22.18,0.9
30,FrequencyV3,Caatinga,1990,71.26,5.03,23.709999999999994,22.71,0.99
30,FrequencyV3,Caatinga,1991,71.25,5.58,23.17,22.25,0.94
30,FrequencyV3,Caatinga,1992,70.77,3.16,26.070000000000004,25.12,0.95
30,FrequencyV3,Caatinga,1993,72.01,3.06,24.929999999999996,23.62,1.31
30,FrequencyV3,Caatinga,1994,70.68,3.62,25.699999999999992,23.96,1.74
30,FrequencyV3,Caatinga,1995,70.03,3.17,26.799999999999997,25.65,1.15
30,FrequencyV3,Caatinga,1996,70.33,4.17,25.5,24.29,1.21
30,FrequencyV3,Caatinga,1997,70.43,2.19,27.379999999999992,26.49,0.88
30,FrequencyV3,Caatinga,1998,71.65,2.19,26.159999999999993,25.49,0.68
30,FrequencyV3,Caatinga,1999,71.06,4.14,24.799999999999997,24.02,0.78
30,FrequencyV3,Caatinga,2000,70.92,3.9,25.18,24.09,1.09
30,FrequencyV3,Caatinga,2001,71.12,3.56,25.319999999999997,24.56,0.75
30,FrequencyV3,Caatinga,2002,72.51,3.25,24.239999999999995,23.56,0.69
30,FrequencyV3,Caatinga,2003,70.82,2.37,26.810000000000006,25.94,0.87
30,FrequencyV3,Caatinga,2004,71.8,2.3,25.900000000000002,24.8,1.1
30,FrequencyV3,Caatinga,2005,70.65,4.38,24.969999999999995,24.12,0.86
30,FrequencyV3,Caatinga,2006,70.95,4.82,24.229999999999997,23.08,1.14
30,FrequencyV3,Caatinga,2007,70.46,4.25,25.290000000000006,24.5,0.8
30,FrequencyV3,Caatinga,2008,70.99,3.26,25.750000000000007,24.65,1.1
30,FrequencyV3,Caatinga,2009,70.33,3.46,26.21,25.18,1.03
30,FrequencyV3,Caatinga,2010,70.47,3.61,25.92,24.73,1.18
30,FrequencyV3,Caatinga,2011,70.49,4.91,24.600000000000005,23.51,1.1
30,FrequencyV3,Caatinga,2012,74.26,2.29,23.449999999999996,23.06,0.38
30,FrequencyV3,Caatinga,2013,73.72,3.86,22.42,21.15,1.26
30,FrequencyV3,Caatinga,2014,72.67,2.81,24.52,23.36,1.16
30,FrequencyV3,Caatinga,2015,73.33,2.07,24.6,23.47,1.13
30,FrequencyV3,Caatinga,2016,73.1,2.04,24.860000000000007,24.06,0.8
30,FrequencyV3,Caatinga,2017,72.67,2.8,24.529999999999998,22.7,1.84
30,FrequencyV3,Caatinga,2018,72.88,1.94,25.180000000000003,24.45,0.72
30,FrequencyV3,Caatinga,2019,72.37,2.12,25.509999999999994,24.57,0.94
30,FrequencyV3,Caatinga,2020,71.84,1.86,26.299999999999997,25.17,1.14
30,FrequencyV3,Caatinga,2021,71.7,2.15,26.15,25.26,0.88
30,FrequencyV3,Caatinga,2022,71.34,2.58,26.08,24.86,1.23
30,FrequencyV3,741,1985,80.43,14.49,5.079999999999993,1.45,3.62
30,FrequencyV3,741,1986,79.71,14.49,5.800000000000006,2.9,2.9
30,FrequencyV3,741,1987,81.88,9.41,8.710000000000004,5.8,2.9
30,FrequencyV3,741,1988,78.99,13.04,7.970000000000006,2.9,5.07
30,FrequencyV3,741,1989,76.81,15.94,7.249999999999998,4.35,2.9
