Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
13,Frequency,Caatinga,1985,67.79,9.63,22.57999999999999,18.27,4.12
13,Frequency,Caatinga,1986,70.98,4.25,24.769999999999996,22.26,2.28
13,Frequency,Caatinga,1987,71.61,2.95,25.44,23.21,2.0
13,Frequency,Caatinga,1988,71.81,2.76,25.43,23.66,1.55
13,Frequency,Caatinga,1989,71.53,2.86,25.61,23.62,1.77
13,Frequency,Caatinga,1990,70.65,2.64,26.709999999999994,24.56,1.92
13,Frequency,Caatinga,1991,71.06,2.49,26.449999999999996,25.21,1.02
13,Frequency,Caatinga,1992,70.85,2.58,26.570000000000007,25.75,0.6
13,Frequency,Caatinga,1993,71.57,3.52,24.910000000000007,23.98,0.72
13,Frequency,Caatinga,1994,71.32,3.68,25.000000000000007,23.96,0.82
13,Frequency,Caatinga,1995,71.29,3.26,25.449999999999996,24.44,0.78
13,Frequency,Caatinga,1996,70.91,2.7,26.390000000000004,25.25,0.92
13,Frequency,Caatinga,1997,70.95,3.76,25.29,24.52,0.55
13,Frequency,Caatinga,1998,71.22,5.28,23.5,22.67,0.62
13,Frequency,Caatinga,1999,70.66,4.16,25.180000000000003,24.04,0.92
13,Frequency,Caatinga,2000,71.05,3.15,25.800000000000004,24.94,0.64
13,Frequency,Caatinga,2001,71.94,3.0,25.060000000000002,23.72,1.1
13,Frequency,Caatinga,2002,72.37,3.76,23.869999999999997,22.46,1.18
13,Frequency,Caatinga,2003,71.77,5.1,23.130000000000003,21.85,1.06
13,Frequency,Caatinga,2004,71.69,4.52,23.790000000000003,23.01,0.55
13,Frequency,Caatinga,2005,71.76,3.16,25.079999999999995,23.98,0.88
13,Frequency,Caatinga,2006,71.18,2.98,25.839999999999993,24.88,0.74
13,Frequency,Caatinga,2007,71.6,3.31,25.090000000000007,24.06,0.8
13,Frequency,Caatinga,2008,71.96,3.91,24.130000000000006,23.21,0.68
13,Frequency,Caatinga,2009,71.44,3.78,24.78,24.04,0.52
13,Frequency,Caatinga,2010,71.66,3.1,25.240000000000002,24.26,0.76
13,Frequency,Caatinga,2011,72.03,3.26,24.71,23.74,0.74
13,Frequency,Caatinga,2012,73.11,5.22,21.67,20.72,0.73
13,Frequency,Caatinga,2013,73.6,5.79,20.610000000000007,19.23,1.16
13,Frequency,Caatinga,2014,73.38,4.61,22.010000000000005,20.71,1.07
13,Frequency,Caatinga,2015,73.46,4.15,22.390000000000008,21.08,1.08
13,Frequency,Caatinga,2016,73.39,5.0,21.61,20.25,1.12
13,Frequency,Caatinga,2017,73.02,6.08,20.900000000000006,19.49,1.2
13,Frequency,Caatinga,2018,72.71,5.22,22.070000000000007,20.7,1.16
13,Frequency,Caatinga,2019,72.25,4.81,22.94,21.7,1.02
13,Frequency,Caatinga,2020,71.96,5.54,22.500000000000007,21.38,0.9
13,Frequency,Caatinga,2021,71.55,5.98,22.470000000000002,20.99,1.24
13,Frequency,Caatinga,2022,71.4,6.17,22.429999999999993,20.49,1.72
13,Frequency,741,1985,82.73,13.64,3.6299999999999955,1.82,1.82
13,Frequency,741,1986,81.82,14.55,3.630000000000006,3.64,0.0
13,Frequency,741,1987,81.82,13.64,4.540000000000006,3.64,0.91
13,Frequency,741,1988,81.82,13.64,4.540000000000006,3.64,0.91
13,Frequency,741,1989,81.82,13.64,4.540000000000006,3.64,0.91
13,Frequency,741,1990,80.91,14.55,4.540000000000003,1.82,2.73
13,Frequency,741,1991,76.36,17.27,6.370000000000001,3.64,2.73
13,Frequency,741,1992,76.36,20.0,3.6400000000000006,1.82,1.82
13,Frequency,741,1993,77.27,17.27,5.460000000000004,3.64,1.82
