Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
12,GTB,Caatinga,1985,40.23,16.11,43.660000000000004,21.51,3.28
12,GTB,Caatinga,1986,60.43,12.08,27.490000000000002,23.94,2.94
12,GTB,Caatinga,1987,64.49,9.05,26.460000000000004,23.7,2.07
12,GTB,Caatinga,1988,62.14,8.76,29.1,25.62,2.74
12,GTB,Caatinga,1989,60.85,9.24,29.909999999999997,25.7,2.54
12,GTB,Caatinga,1990,61.32,8.95,29.73,25.74,2.82
12,GTB,Caatinga,1991,61.95,8.44,29.61,25.66,2.92
12,GTB,Caatinga,1992,61.69,7.36,30.950000000000003,28.45,1.45
12,GTB,Caatinga,1993,63.37,7.44,29.19,27.68,0.76
12,GTB,Caatinga,1994,60.86,6.05,33.09,29.18,2.31
12,GTB,Caatinga,1995,58.64,6.47,34.89,28.86,1.48
12,GTB,Caatinga,1996,59.4,6.54,34.06,27.19,2.36
12,GTB,Caatinga,1997,59.91,7.06,33.03,29.86,1.26
12,GTB,Caatinga,1998,60.12,7.7,32.18,28.26,1.04
12,GTB,Caatinga,1999,60.75,6.87,32.38,29.94,1.43
12,GTB,Caatinga,2000,62.25,7.25,30.5,27.66,2.4
12,GTB,Caatinga,2001,63.54,5.29,31.17,28.82,2.0
12,GTB,Caatinga,2002,64.85,5.72,29.430000000000007,27.9,1.04
12,GTB,Caatinga,2003,62.09,7.85,30.059999999999995,27.61,1.83
12,GTB,Caatinga,2004,63.46,6.86,29.68,28.6,0.78
12,GTB,Caatinga,2005,62.98,6.51,30.510000000000005,28.0,2.15
12,GTB,Caatinga,2006,62.83,6.38,30.790000000000003,28.61,1.76
12,GTB,Caatinga,2007,64.05,6.4,29.550000000000004,28.08,1.18
12,GTB,Caatinga,2008,62.97,6.23,30.8,29.4,0.62
12,GTB,Caatinga,2009,62.01,6.73,31.26,28.93,1.58
12,GTB,Caatinga,2010,59.85,7.58,32.57,28.86,1.52
12,GTB,Caatinga,2011,59.34,6.58,34.08,29.08,1.63
12,GTB,Caatinga,2012,64.16,7.76,28.080000000000005,25.93,1.49
12,GTB,Caatinga,2013,65.24,6.04,28.720000000000006,25.54,2.78
12,GTB,Caatinga,2014,65.52,6.1,28.380000000000003,27.69,0.41
12,GTB,Caatinga,2015,65.5,6.56,27.94,27.0,0.68
12,GTB,Caatinga,2016,66.46,6.54,27.000000000000007,25.57,1.17
12,GTB,Caatinga,2017,65.11,5.66,29.23,26.7,2.24
12,GTB,Caatinga,2018,65.51,5.26,29.229999999999997,27.2,1.67
12,GTB,Caatinga,2019,64.47,6.56,28.970000000000002,28.17,0.57
12,GTB,Caatinga,2020,65.04,6.72,28.239999999999995,25.93,2.02
12,GTB,Caatinga,2021,64.31,5.67,30.019999999999996,27.36,2.4
12,GTB,Caatinga,2022,62.95,6.35,30.699999999999996,27.88,2.58
12,GTB,741,1985,62.73,26.37,10.900000000000002,1.82,9.09
12,GTB,741,1986,66.36,16.36,17.28,7.27,10.0
12,GTB,741,1987,68.18,17.28,14.539999999999992,9.09,5.46
12,GTB,741,1988,58.18,21.82,20.0,12.73,7.28
12,GTB,741,1989,59.09,24.77,16.139999999999997,5.5,10.09
12,GTB,741,1990,70.91,11.82,17.270000000000003,5.46,11.82
12,GTB,741,1991,57.27,20.19,22.539999999999996,7.34,14.68
12,GTB,741,1992,63.64,13.64,22.72,10.91,11.82
12,GTB,741,1993,75.45,14.54,10.009999999999998,5.46,4.54
12,GTB,741,1994,68.18,13.64,18.179999999999993,10.91,7.28
12,GTB,741,1995,63.64,17.27,19.09,9.1,10.0
12,GTB,741,1996,69.09,14.42,16.489999999999995,9.61,2.88
12,GTB,741,1997,62.73,15.53,21.740000000000002,9.71,7.76
12,GTB,741,1998,63.64,18.34,18.02,7.33,10.09
12,GTB,741,1999,64.55,16.37,19.080000000000002,7.28,11.82
12,GTB,741,2000,72.73,11.82,15.449999999999996,7.27,8.18
12,GTB,741,2001,69.09,16.37,14.539999999999996,5.46,9.09
12,GTB,741,2002,74.55,14.54,10.910000000000004,3.64,7.28
12,GTB,741,2003,51.82,24.55,23.63,7.27,16.36
12,GTB,741,2004,62.73,21.82,15.450000000000003,3.64,11.82
12,GTB,741,2005,71.82,16.36,11.820000000000007,7.28,4.54
12,GTB,741,2006,64.55,17.27,18.180000000000003,9.09,9.09
12,GTB,741,2007,70.91,14.55,14.540000000000003,9.09,5.46
12,GTB,741,2008,63.64,15.46,20.9,9.09,11.82
12,GTB,741,2009,62.73,17.27,20.000000000000004,5.46,14.54
12,GTB,741,2010,60.91,20.91,18.180000000000003,10.9,7.28
12,GTB,741,2011,59.09,20.91,19.999999999999996,10.91,9.09
12,GTB,741,2012,67.27,15.46,17.270000000000003,9.09,8.18
12,GTB,741,2013,71.82,13.64,14.540000000000006,7.28,7.28
12,GTB,741,2014,65.45,13.64,20.909999999999997,12.72,8.18
12,GTB,741,2015,70.0,10.91,19.09,7.28,11.82
12,GTB,741,2016,70.91,10.92,18.17,12.72,5.46
12,GTB,741,2017,68.18,13.64,18.179999999999993,10.9,7.28
12,GTB,741,2018,76.36,13.64,10.0,1.82,8.18
12,GTB,741,2019,65.45,14.55,19.999999999999996,9.09,10.91
12,GTB,741,2020,66.36,10.91,22.73,5.45,17.27
12,GTB,741,2021,66.36,18.18,15.46,3.64,11.82
12,GTB,741,2022,68.18,15.45,16.369999999999994,9.09,7.28
12,GTB,7421,1985,72.62,16.67,10.709999999999994,7.14,3.57
12,GTB,7421,1986,72.62,15.48,11.899999999999995,7.14,4.76
12,GTB,7421,1987,78.57,14.28,7.1500000000000075,7.14,0.0
