Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
15,Gap-fillV2,Caatinga,1985,62.65,11.68,25.67,23.8,1.88
15,Gap-fillV2,Caatinga,1986,62.87,9.88,27.25,24.54,2.73
15,Gap-fillV2,Caatinga,1987,66.54,7.88,25.579999999999995,23.5,2.09
15,Gap-fillV2,Caatinga,1988,64.22,7.74,28.04,25.76,2.28
15,Gap-fillV2,Caatinga,1989,63.5,8.35,28.15,25.83,2.34
15,Gap-fillV2,Caatinga,1990,64.1,7.66,28.240000000000006,25.62,2.61
15,Gap-fillV2,Caatinga,1991,64.49,7.32,28.190000000000005,26.16,2.04
15,Gap-fillV2,Caatinga,1992,63.43,7.33,29.240000000000002,28.93,0.32
15,Gap-fillV2,Caatinga,1993,65.18,7.08,27.739999999999995,27.07,0.68
15,Gap-fillV2,Caatinga,1994,63.76,6.34,29.900000000000002,29.14,0.77
15,Gap-fillV2,Caatinga,1995,63.38,7.16,29.459999999999997,29.2,0.26
15,Gap-fillV2,Caatinga,1996,63.46,7.02,29.52,28.57,0.96
15,Gap-fillV2,Caatinga,1997,63.43,6.97,29.6,28.68,0.93
15,Gap-fillV2,Caatinga,1998,63.99,7.76,28.25,26.2,2.04
15,Gap-fillV2,Caatinga,1999,63.33,7.53,29.14,28.52,0.62
15,Gap-fillV2,Caatinga,2000,64.1,6.98,28.920000000000005,28.1,0.82
15,Gap-fillV2,Caatinga,2001,64.72,5.84,29.44,28.82,0.62
15,Gap-fillV2,Caatinga,2002,66.36,6.24,27.4,26.75,0.66
15,Gap-fillV2,Caatinga,2003,63.56,7.42,29.019999999999996,26.4,2.62
15,Gap-fillV2,Caatinga,2004,64.7,7.05,28.249999999999996,26.67,1.58
15,Gap-fillV2,Caatinga,2005,64.49,6.71,28.800000000000004,27.92,0.88
15,Gap-fillV2,Caatinga,2006,64.24,6.67,29.090000000000003,28.77,0.32
15,Gap-fillV2,Caatinga,2007,64.43,6.54,29.029999999999994,28.72,0.31
15,Gap-fillV2,Caatinga,2008,65.15,6.79,28.059999999999995,27.53,0.53
15,Gap-fillV2,Caatinga,2009,64.04,7.18,28.779999999999994,28.08,0.71
15,Gap-fillV2,Caatinga,2010,63.36,7.03,29.61,28.86,0.74
15,Gap-fillV2,Caatinga,2011,62.87,7.04,30.090000000000003,29.06,1.03
15,Gap-fillV2,Caatinga,2012,65.66,7.49,26.85,24.58,2.28
15,Gap-fillV2,Caatinga,2013,66.63,6.58,26.790000000000006,22.91,3.88
15,Gap-fillV2,Caatinga,2014,66.57,6.52,26.910000000000007,26.02,0.88
15,Gap-fillV2,Caatinga,2015,66.77,6.72,26.510000000000005,25.52,0.98
15,Gap-fillV2,Caatinga,2016,67.18,6.57,26.249999999999993,24.4,1.84
15,Gap-fillV2,Caatinga,2017,66.84,5.8,27.359999999999996,24.29,3.08
15,Gap-fillV2,Caatinga,2018,66.47,5.84,27.69,25.55,2.14
15,Gap-fillV2,Caatinga,2019,66.02,6.83,27.150000000000006,25.4,1.75
15,Gap-fillV2,Caatinga,2020,65.93,6.81,27.259999999999994,24.43,2.84
15,Gap-fillV2,Caatinga,2021,66.03,5.78,28.189999999999998,24.92,3.26
15,Gap-fillV2,Caatinga,2022,64.62,7.04,28.339999999999996,25.19,3.16
15,Gap-fillV2,741,1985,64.49,24.3,11.210000000000004,1.87,9.35
15,Gap-fillV2,741,1986,67.29,14.95,17.759999999999994,7.48,10.28
15,Gap-fillV2,741,1987,68.22,16.82,14.96,9.35,5.6
15,Gap-fillV2,741,1988,58.88,20.56,20.56,13.08,7.48
15,Gap-fillV2,741,1989,60.75,23.36,15.89,5.61,10.28
15,Gap-fillV2,741,1990,72.9,12.14,14.959999999999994,5.61,9.35
15,Gap-fillV2,741,1991,58.88,19.62,21.499999999999996,7.48,14.02
15,Gap-fillV2,741,1992,62.62,14.01,23.370000000000005,11.22,12.15
15,Gap-fillV2,741,1993,75.7,14.02,10.279999999999998,5.61,4.68
15,Gap-fillV2,741,1994,70.09,13.08,16.83,11.22,5.61
15,Gap-fillV2,741,1995,65.42,15.88,18.699999999999996,9.35,9.35
15,Gap-fillV2,741,1996,70.09,14.02,15.889999999999997,9.35,6.54
15,Gap-fillV2,741,1997,68.22,14.02,17.76,13.08,4.68
15,Gap-fillV2,741,1998,64.49,16.82,18.690000000000005,9.35,9.35
15,Gap-fillV2,741,1999,66.36,15.89,17.75,7.48,10.28
15,Gap-fillV2,741,2000,74.77,10.28,14.950000000000005,7.48,7.48
15,Gap-fillV2,741,2001,71.03,14.95,14.02,5.61,8.41
15,Gap-fillV2,741,2002,76.64,13.08,10.28,3.74,6.54
15,Gap-fillV2,741,2003,53.27,23.36,23.369999999999997,7.48,15.89
15,Gap-fillV2,741,2004,64.49,20.56,14.950000000000006,3.74,11.22
15,Gap-fillV2,741,2005,73.83,14.96,11.21,7.48,3.74
15,Gap-fillV2,741,2006,66.36,15.88,17.759999999999998,9.35,8.41
15,Gap-fillV2,741,2007,71.96,13.08,14.960000000000006,9.35,5.6
15,Gap-fillV2,741,2008,65.42,14.02,20.56,9.35,11.22
15,Gap-fillV2,741,2009,63.55,16.82,19.630000000000003,5.61,14.02
15,Gap-fillV2,741,2010,62.62,19.62,17.76,11.22,6.54
15,Gap-fillV2,741,2011,60.75,19.62,19.63,11.22,8.41
15,Gap-fillV2,741,2012,69.16,14.02,16.820000000000004,9.35,7.48
15,Gap-fillV2,741,2013,71.96,13.08,14.960000000000006,7.48,7.48
15,Gap-fillV2,741,2014,66.36,14.01,19.630000000000003,13.09,6.54
15,Gap-fillV2,741,2015,70.09,12.15,17.759999999999998,7.48,10.28
15,Gap-fillV2,741,2016,71.03,11.2,17.77,13.08,4.68
15,Gap-fillV2,741,2017,69.16,12.14,18.700000000000003,11.22,7.48
15,Gap-fillV2,741,2018,78.5,12.14,9.36,1.87,7.48
15,Gap-fillV2,741,2019,65.42,14.95,19.63,9.35,10.28
15,Gap-fillV2,741,2020,68.22,9.34,22.44,5.61,16.82
15,Gap-fillV2,741,2021,68.22,16.82,14.96,3.74,11.22
15,Gap-fillV2,741,2022,70.09,14.02,15.889999999999997,9.35,6.54
15,Gap-fillV2,7421,1985,71.25,21.25,7.5,7.5,0.0
15,Gap-fillV2,7421,1986,65.0,25.0,10.0,7.5,2.5
15,Gap-fillV2,7421,1987,71.25,18.75,10.0,7.5,2.5
15,Gap-fillV2,7421,1988,77.5,13.75,8.75,7.5,1.25
15,Gap-fillV2,7421,1989,73.75,11.25,15.0,10.0,5.0
15,Gap-fillV2,7421,1990,70.0,21.25,8.75,7.5,1.25
15,Gap-fillV2,7421,1991,81.25,5.0,13.75,10.0,3.75
15,Gap-fillV2,7421,1992,70.0,11.25,18.75,17.5,1.25
15,Gap-fillV2,7421,1993,71.25,8.75,20.0,17.5,2.5
15,Gap-fillV2,7421,1994,80.0,8.75,11.25,10.0,1.25
15,Gap-fillV2,7421,1995,68.75,7.5,23.75,22.5,1.25
15,Gap-fillV2,7421,1996,72.5,10.0,17.5,15.0,2.5
15,Gap-fillV2,7421,1997,70.0,5.0,25.0,20.0,5.0
15,Gap-fillV2,7421,1998,66.25,6.25,27.5,27.5,0.0
15,Gap-fillV2,7421,1999,71.25,17.5,11.25,7.5,3.75
15,Gap-fillV2,7421,2000,60.0,12.5,27.5,22.5,5.0
15,Gap-fillV2,7421,2001,61.25,15.0,23.75,20.0,3.75
15,Gap-fillV2,7421,2002,71.25,5.0,23.75,22.5,1.25
15,Gap-fillV2,7421,2003,60.0,17.5,22.5,20.0,2.5
15,Gap-fillV2,7421,2004,48.75,26.25,25.0,22.5,2.5
15,Gap-fillV2,7421,2005,70.0,5.0,25.0,17.5,7.5
