Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
13,Gap-fill,Caatinga,1985,60.54,13.88,25.58,21.24,4.16
13,Gap-fill,Caatinga,1986,61.84,9.38,28.779999999999994,25.41,3.18
13,Gap-fill,Caatinga,1987,66.06,6.69,27.249999999999996,24.93,2.12
13,Gap-fill,Caatinga,1988,63.83,6.96,29.21,27.06,1.95
13,Gap-fill,Caatinga,1989,63.26,7.3,29.44,27.48,1.75
13,Gap-fill,Caatinga,1990,63.6,5.75,30.65,27.6,2.85
13,Gap-fill,Caatinga,1991,63.88,6.42,29.699999999999996,28.13,1.38
13,Gap-fill,Caatinga,1992,63.28,6.51,30.21,28.48,1.54
13,Gap-fill,Caatinga,1993,64.85,6.41,28.740000000000006,26.65,1.88
13,Gap-fill,Caatinga,1994,63.28,5.7,31.02,29.24,1.58
13,Gap-fill,Caatinga,1995,63.13,6.63,30.24,28.28,1.77
13,Gap-fill,Caatinga,1996,63.41,6.99,29.6,28.33,1.06
13,Gap-fill,Caatinga,1997,62.79,6.75,30.46,27.56,2.7
13,Gap-fill,Caatinga,1998,63.85,6.7,29.45,26.36,2.9
13,Gap-fill,Caatinga,1999,62.55,6.48,30.970000000000002,28.47,2.3
13,Gap-fill,Caatinga,2000,63.79,6.4,29.810000000000002,28.25,1.37
13,Gap-fill,Caatinga,2001,64.58,4.73,30.69,28.57,1.91
13,Gap-fill,Caatinga,2002,65.97,5.25,28.78,26.1,2.48
13,Gap-fill,Caatinga,2003,63.34,7.08,29.58,25.09,4.31
13,Gap-fill,Caatinga,2004,64.34,6.36,29.299999999999997,26.24,2.87
13,Gap-fill,Caatinga,2005,64.25,5.98,29.77,28.23,1.34
13,Gap-fill,Caatinga,2006,64.07,5.98,29.950000000000006,28.26,1.5
13,Gap-fill,Caatinga,2007,64.53,5.93,29.54,27.57,1.78
13,Gap-fill,Caatinga,2008,64.38,5.96,29.660000000000004,26.87,2.61
13,Gap-fill,Caatinga,2009,63.88,6.07,30.049999999999997,27.85,2.0
13,Gap-fill,Caatinga,2010,63.18,6.06,30.76,28.56,2.01
13,Gap-fill,Caatinga,2011,63.27,5.8,30.929999999999996,29.88,0.85
13,Gap-fill,Caatinga,2012,64.98,6.91,28.109999999999996,24.2,3.7
13,Gap-fill,Caatinga,2013,65.9,7.32,26.779999999999994,23.17,3.4
13,Gap-fill,Caatinga,2014,66.1,5.75,28.150000000000006,25.59,2.36
13,Gap-fill,Caatinga,2015,66.18,6.24,27.57999999999999,25.35,2.03
13,Gap-fill,Caatinga,2016,66.87,6.06,27.069999999999997,23.58,3.28
13,Gap-fill,Caatinga,2017,66.19,6.36,27.450000000000003,23.86,3.4
13,Gap-fill,Caatinga,2018,66.34,5.54,28.119999999999997,25.03,2.89
13,Gap-fill,Caatinga,2019,65.84,5.9,28.259999999999998,24.61,3.46
13,Gap-fill,Caatinga,2020,65.61,6.76,27.630000000000003,23.82,3.62
13,Gap-fill,Caatinga,2021,65.17,7.06,27.77,24.24,3.32
13,Gap-fill,Caatinga,2022,63.89,7.22,28.89,24.67,4.03
13,Gap-fill,741,1985,62.73,26.37,10.900000000000002,1.82,9.09
13,Gap-fill,741,1986,66.36,16.36,17.28,7.27,10.0
13,Gap-fill,741,1987,68.18,17.28,14.539999999999992,9.09,5.46
13,Gap-fill,741,1988,58.18,21.82,20.0,12.73,7.28
13,Gap-fill,741,1989,60.0,24.55,15.45,5.46,10.0
13,Gap-fill,741,1990,70.91,11.82,17.270000000000003,5.46,11.82
13,Gap-fill,741,1991,58.18,20.0,21.82,7.27,14.54
13,Gap-fill,741,1992,63.64,13.64,22.72,10.91,11.82
13,Gap-fill,741,1993,75.45,14.54,10.009999999999998,5.46,4.54
13,Gap-fill,741,1994,68.18,13.64,18.179999999999993,10.91,7.28
13,Gap-fill,741,1995,63.64,17.27,19.09,9.1,10.0
13,Gap-fill,741,1996,70.91,15.46,13.630000000000003,9.09,4.54
13,Gap-fill,741,1997,65.45,18.18,16.369999999999997,9.09,7.28
13,Gap-fill,741,1998,63.64,17.28,19.08,9.09,10.0
13,Gap-fill,741,1999,64.55,16.37,19.080000000000002,7.28,11.82
13,Gap-fill,741,2000,72.73,11.82,15.449999999999996,7.27,8.18
13,Gap-fill,741,2001,69.09,16.37,14.539999999999996,5.46,9.09
13,Gap-fill,741,2002,74.55,14.54,10.910000000000004,3.64,7.28
13,Gap-fill,741,2003,51.82,24.55,23.63,7.27,16.36
13,Gap-fill,741,2004,62.73,21.82,15.450000000000003,3.64,11.82
13,Gap-fill,741,2005,71.82,16.36,11.820000000000007,7.28,4.54
13,Gap-fill,741,2006,64.55,17.27,18.180000000000003,9.09,9.09
13,Gap-fill,741,2007,70.91,14.55,14.540000000000003,9.09,5.46
13,Gap-fill,741,2008,63.64,15.46,20.9,9.09,11.82
13,Gap-fill,741,2009,62.73,17.27,20.000000000000004,5.46,14.54
13,Gap-fill,741,2010,60.91,20.91,18.180000000000003,10.9,7.28
13,Gap-fill,741,2011,59.09,20.91,19.999999999999996,10.91,9.09
13,Gap-fill,741,2012,67.27,15.46,17.270000000000003,9.09,8.18
13,Gap-fill,741,2013,71.82,13.64,14.540000000000006,7.28,7.28
13,Gap-fill,741,2014,65.45,13.64,20.909999999999997,12.72,8.18
13,Gap-fill,741,2015,70.0,10.91,19.09,7.28,11.82
13,Gap-fill,741,2016,70.91,10.92,18.17,12.72,5.46
13,Gap-fill,741,2017,68.18,13.64,18.179999999999993,10.9,7.28
13,Gap-fill,741,2018,76.36,13.64,10.0,1.82,8.18
13,Gap-fill,741,2019,65.45,14.55,19.999999999999996,9.09,10.91
13,Gap-fill,741,2020,66.36,10.91,22.73,5.45,17.27
13,Gap-fill,741,2021,66.36,18.18,15.46,3.64,11.82
13,Gap-fill,741,2022,68.18,15.45,16.369999999999994,9.09,7.28
13,Gap-fill,7421,1985,72.62,16.67,10.709999999999994,7.14,3.57
13,Gap-fill,7421,1986,72.62,15.48,11.899999999999995,7.14,4.76
13,Gap-fill,7421,1987,78.57,14.28,7.1500000000000075,7.14,0.0
13,Gap-fill,7421,1988,77.38,17.86,4.760000000000005,4.76,0.0
13,Gap-fill,7421,1989,79.76,8.33,11.909999999999995,7.14,4.76
13,Gap-fill,7421,1990,67.86,22.62,9.52,9.52,0.0
13,Gap-fill,7421,1991,83.33,3.57,13.100000000000001,9.52,3.57
13,Gap-fill,7421,1992,75.0,8.33,16.67,11.9,4.76
13,Gap-fill,7421,1993,75.0,7.14,17.86,14.28,3.57
13,Gap-fill,7421,1994,75.0,4.76,20.240000000000002,19.05,1.19
13,Gap-fill,7421,1995,77.38,4.76,17.860000000000007,16.67,1.19
13,Gap-fill,7421,1996,76.19,9.52,14.290000000000003,11.9,2.38
13,Gap-fill,7421,1997,72.62,5.95,21.429999999999996,16.66,4.76
13,Gap-fill,7421,1998,64.29,16.66,19.049999999999994,14.28,4.76
13,Gap-fill,7421,1999,72.62,11.9,15.479999999999995,14.29,1.19
13,Gap-fill,7421,2000,64.29,17.86,17.849999999999994,16.67,1.19
13,Gap-fill,7421,2001,64.29,14.28,21.429999999999993,19.05,2.38
13,Gap-fill,7421,2002,73.81,3.57,22.619999999999997,21.43,1.19
13,Gap-fill,7421,2003,66.67,19.04,14.29,9.52,4.76
13,Gap-fill,7421,2004,45.24,28.57,26.189999999999998,26.19,0.0
13,Gap-fill,7421,2005,70.24,9.52,20.240000000000006,11.9,8.33
13,Gap-fill,7421,2006,77.38,8.33,14.290000000000004,11.9,2.38
13,Gap-fill,7421,2007,82.14,1.19,16.669999999999998,16.67,0.0
13,Gap-fill,7421,2008,72.62,11.9,15.479999999999995,14.28,1.19
13,Gap-fill,7421,2009,69.05,15.47,15.480000000000002,11.9,3.57
13,Gap-fill,7421,2010,80.95,8.33,10.719999999999997,7.14,3.57
13,Gap-fill,7421,2011,73.81,13.09,13.099999999999998,11.9,1.19
13,Gap-fill,7421,2012,71.43,13.09,15.479999999999993,11.9,3.57
13,Gap-fill,7421,2013,78.57,8.33,13.100000000000007,11.9,1.19
13,Gap-fill,7421,2014,66.67,21.42,11.909999999999997,9.52,2.38
