version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
5,RF,Caatinga,1985,32.67,48.08,19.25,14.82,4.42
5,RF,Caatinga,1986,57.86,17.89,24.25,21.13,3.12
5,RF,Caatinga,1987,61.69,15.08,23.230000000000004,20.94,2.28
5,RF,Caatinga,1988,60.95,15.95,23.099999999999998,21.5,1.6
5,RF,Caatinga,1989,57.6,19.12,23.279999999999998,21.03,2.24
5,RF,Caatinga,1990,59.81,16.69,23.499999999999996,21.66,1.85
5,RF,Caatinga,1991,59.29,17.2,23.51,21.06,2.46
5,RF,Caatinga,1992,58.32,17.55,24.13,22.26,1.86
5,RF,Caatinga,1993,59.02,20.06,20.919999999999998,18.11,2.83
5,RF,Caatinga,1994,58.57,17.42,24.009999999999998,21.43,2.56
5,RF,Caatinga,1995,55.62,20.71,23.67,19.24,4.43
5,RF,Caatinga,1996,57.47,19.1,23.43,19.75,3.68
5,RF,Caatinga,1997,57.14,18.86,24.0,20.51,3.48
5,RF,Caatinga,1998,56.9,21.38,21.720000000000002,18.56,3.16
5,RF,Caatinga,1999,57.35,18.68,23.97,19.93,4.04
5,RF,Caatinga,2000,61.42,14.3,24.279999999999998,21.58,2.7
5,RF,Caatinga,2001,62.33,14.24,23.43,20.47,2.96
5,RF,Caatinga,2002,61.9,13.56,24.54,21.82,2.72
5,RF,Caatinga,2003,59.71,16.86,23.43,19.32,4.1
5,RF,Caatinga,2004,61.15,14.42,24.43,20.9,3.54
5,RF,Caatinga,2005,60.63,15.89,23.479999999999997,21.32,2.16
5,RF,Caatinga,2006,60.69,14.46,24.85,22.82,2.03
5,RF,Caatinga,2007,61.78,14.39,23.83,21.36,2.47
5,RF,Caatinga,2008,61.64,14.36,24.0,21.66,2.34
5,RF,Caatinga,2009,59.54,16.98,23.48,21.33,2.14
5,RF,Caatinga,2010,55.89,20.3,23.81,21.6,2.2
5,RF,Caatinga,2011,54.78,20.8,24.419999999999998,20.07,4.34
5,RF,Caatinga,2012,59.2,20.35,20.449999999999996,16.84,3.62
5,RF,Caatinga,2013,60.95,17.81,21.24,17.18,4.06
5,RF,Caatinga,2014,61.93,16.32,21.75,17.96,3.78
5,RF,Caatinga,2015,62.4,16.22,21.380000000000003,18.84,2.53
