Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
11,RF,Caatinga,1985,43.32,10.46,46.22,22.64,3.26
11,RF,Caatinga,1986,63.18,10.05,26.77,22.13,3.98
11,RF,Caatinga,1987,66.77,8.06,25.17,21.95,2.51
11,RF,Caatinga,1988,64.44,8.34,27.220000000000002,23.7,2.76
11,RF,Caatinga,1989,62.88,10.04,27.08,23.38,1.97
11,RF,Caatinga,1990,62.99,6.5,30.509999999999998,26.92,2.38
11,RF,Caatinga,1991,62.87,7.55,29.580000000000002,25.86,2.68
11,RF,Caatinga,1992,62.91,14.78,22.310000000000002,19.92,1.32
11,RF,Caatinga,1993,66.38,11.86,21.760000000000005,19.98,1.02
11,RF,Caatinga,1994,61.55,14.03,24.42,21.42,1.4
11,RF,Caatinga,1995,58.92,13.32,27.759999999999998,21.14,2.07
11,RF,Caatinga,1996,59.06,12.72,28.22,21.25,2.48
11,RF,Caatinga,1997,60.66,16.09,23.250000000000004,19.8,1.5
11,RF,Caatinga,1998,62.93,14.94,22.130000000000003,18.53,0.6
11,RF,Caatinga,1999,60.45,15.6,23.949999999999996,20.11,2.84
11,RF,Caatinga,2000,62.61,11.18,26.21,23.53,2.23
11,RF,Caatinga,2001,62.38,13.0,24.619999999999997,22.14,2.14
11,RF,Caatinga,2002,64.07,13.69,22.24000000000001,20.16,1.6
11,RF,Caatinga,2003,62.49,17.34,20.169999999999998,18.29,1.26
11,RF,Caatinga,2004,60.95,17.25,21.799999999999997,18.45,3.04
11,RF,Caatinga,2005,60.74,14.76,24.5,22.04,2.11
11,RF,Caatinga,2006,62.56,13.94,23.5,21.52,1.57
11,RF,Caatinga,2007,62.13,13.82,24.049999999999997,21.69,2.09
11,RF,Caatinga,2008,62.24,13.76,24.0,20.66,2.58
11,RF,Caatinga,2009,60.53,13.56,25.909999999999997,22.77,2.4
11,RF,Caatinga,2010,59.7,11.19,29.11,24.88,2.06
11,RF,Caatinga,2011,58.87,10.76,30.370000000000005,25.14,1.89
11,RF,Caatinga,2012,65.31,15.99,18.699999999999996,16.87,1.14
11,RF,Caatinga,2013,65.25,16.49,18.26,15.96,1.91
11,RF,Caatinga,2014,63.02,16.88,20.099999999999998,16.98,2.86
11,RF,Caatinga,2015,64.44,14.28,21.28,18.53,2.48
11,RF,Caatinga,2016,65.47,14.44,20.090000000000003,18.09,1.74
11,RF,Caatinga,2017,65.0,16.73,18.27,16.67,1.34
