Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
18,SpatialV3St1,Caatinga,1985,70.57,4.34,25.090000000000007,23.77,1.33
18,SpatialV3St1,Caatinga,1986,70.85,2.22,26.930000000000007,25.3,1.64
18,SpatialV3St1,Caatinga,1987,72.17,2.29,25.54,24.14,1.41
18,SpatialV3St1,Caatinga,1988,71.39,0.86,27.75,26.02,1.73
18,SpatialV3St1,Caatinga,1989,70.48,2.02,27.499999999999996,25.4,2.11
18,SpatialV3St1,Caatinga,1990,69.84,2.4,27.759999999999998,25.86,1.9
18,SpatialV3St1,Caatinga,1991,71.02,2.53,26.450000000000003,24.72,1.74
18,SpatialV3St1,Caatinga,1992,69.55,2.51,27.940000000000005,27.06,0.88
18,SpatialV3St1,Caatinga,1993,71.18,3.0,25.819999999999993,25.14,0.68
18,SpatialV3St1,Caatinga,1994,69.96,1.72,28.320000000000007,27.08,1.24
18,SpatialV3St1,Caatinga,1995,69.16,1.86,28.980000000000004,28.14,0.84
18,SpatialV3St1,Caatinga,1996,69.56,1.27,29.169999999999998,28.42,0.77
18,SpatialV3St1,Caatinga,1997,69.37,2.94,27.689999999999994,26.92,0.76
18,SpatialV3St1,Caatinga,1998,71.03,5.46,23.509999999999998,22.42,1.09
18,SpatialV3St1,Caatinga,1999,69.7,2.66,27.639999999999997,27.13,0.5
18,SpatialV3St1,Caatinga,2000,69.99,1.92,28.090000000000003,27.58,0.52
18,SpatialV3St1,Caatinga,2001,70.11,1.75,28.14,27.22,0.92
18,SpatialV3St1,Caatinga,2002,71.49,2.1,26.410000000000004,25.8,0.61
18,SpatialV3St1,Caatinga,2003,70.09,4.81,25.099999999999998,24.07,1.03
18,SpatialV3St1,Caatinga,2004,70.51,3.06,26.429999999999996,25.62,0.82
18,SpatialV3St1,Caatinga,2005,69.82,1.24,28.94000000000001,28.43,0.51
18,SpatialV3St1,Caatinga,2006,69.95,1.53,28.519999999999996,27.62,0.91
18,SpatialV3St1,Caatinga,2007,69.63,1.8,28.570000000000004,27.98,0.59
18,SpatialV3St1,Caatinga,2008,70.34,1.25,28.409999999999997,27.62,0.79
18,SpatialV3St1,Caatinga,2009,69.84,1.31,28.849999999999998,28.03,0.82
18,SpatialV3St1,Caatinga,2010,69.47,1.46,29.07,28.39,0.68
18,SpatialV3St1,Caatinga,2011,69.3,1.45,29.250000000000004,27.68,1.56
18,SpatialV3St1,Caatinga,2012,72.84,4.54,22.619999999999997,22.02,0.6
18,SpatialV3St1,Caatinga,2013,72.68,6.18,21.139999999999993,20.06,1.1
18,SpatialV3St1,Caatinga,2014,71.84,2.86,25.299999999999997,24.42,0.88
18,SpatialV3St1,Caatinga,2015,72.34,2.76,24.9,24.13,0.77
18,SpatialV3St1,Caatinga,2016,72.47,3.86,23.67,22.88,0.8
18,SpatialV3St1,Caatinga,2017,72.51,5.12,22.369999999999994,21.18,1.18
18,SpatialV3St1,Caatinga,2018,71.69,4.05,24.26,23.46,0.82
18,SpatialV3St1,Caatinga,2019,71.54,2.94,25.519999999999992,24.47,1.06
18,SpatialV3St1,Caatinga,2020,71.08,4.1,24.82,23.96,0.87
18,SpatialV3St1,Caatinga,2021,71.06,4.58,24.36,23.44,0.93
18,SpatialV3St1,Caatinga,2022,70.29,5.4,24.309999999999995,23.7,0.6
18,SpatialV3St1,741,1985,84.11,13.08,2.8100000000000005,1.87,0.94
