Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
30,SpatialV3,Caatinga,1985,66.38,11.8,21.820000000000004,20.64,1.18
30,SpatialV3,Caatinga,1986,68.19,8.58,23.230000000000004,22.1,1.14
30,SpatialV3,Caatinga,1987,70.9,6.76,22.339999999999996,21.13,1.21
30,SpatialV3,Caatinga,1988,69.13,7.5,23.370000000000005,22.22,1.15
30,SpatialV3,Caatinga,1989,68.65,8.66,22.689999999999994,21.24,1.46
30,SpatialV3,Caatinga,1990,69.02,7.13,23.850000000000005,23.02,0.82
30,SpatialV3,Caatinga,1991,68.72,8.05,23.23,22.18,1.05
30,SpatialV3,Caatinga,1992,68.58,5.48,25.94,24.6,1.34
30,SpatialV3,Caatinga,1993,69.86,4.9,25.240000000000002,24.08,1.14
30,SpatialV3,Caatinga,1994,68.5,6.12,25.38,24.12,1.26
30,SpatialV3,Caatinga,1995,67.84,5.5,26.659999999999997,25.38,1.29
30,SpatialV3,Caatinga,1996,68.0,6.55,25.45,24.29,1.17
30,SpatialV3,Caatinga,1997,68.04,5.05,26.909999999999993,25.53,1.38
30,SpatialV3,Caatinga,1998,69.67,2.49,27.839999999999996,26.54,1.31
30,SpatialV3,Caatinga,1999,68.05,7.64,24.310000000000002,23.18,1.12
30,SpatialV3,Caatinga,2000,68.19,7.07,24.740000000000002,23.18,1.54
30,SpatialV3,Caatinga,2001,68.77,6.26,24.970000000000006,23.42,1.53
30,SpatialV3,Caatinga,2002,70.18,6.04,23.779999999999994,22.89,0.9
30,SpatialV3,Caatinga,2003,68.45,4.6,26.949999999999996,25.34,1.62
30,SpatialV3,Caatinga,2004,69.39,5.06,25.55,24.32,1.23
30,SpatialV3,Caatinga,2005,68.6,6.68,24.720000000000006,23.19,1.52
30,SpatialV3,Caatinga,2006,68.68,7.48,23.839999999999993,22.83,1.02
30,SpatialV3,Caatinga,2007,68.72,6.09,25.19,24.11,1.08
30,SpatialV3,Caatinga,2008,69.1,5.62,25.280000000000005,23.83,1.45
30,SpatialV3,Caatinga,2009,67.87,6.14,25.989999999999995,24.56,1.42
30,SpatialV3,Caatinga,2010,68.17,6.0,25.83,24.8,1.03
30,SpatialV3,Caatinga,2011,67.67,7.46,24.869999999999997,23.68,1.18
30,SpatialV3,Caatinga,2012,72.27,3.48,24.250000000000004,22.83,1.42
30,SpatialV3,Caatinga,2013,71.36,3.04,25.6,21.68,3.92
30,SpatialV3,Caatinga,2014,70.89,4.34,24.77,23.3,1.48
30,SpatialV3,Caatinga,2015,70.9,4.56,24.539999999999996,23.34,1.2
30,SpatialV3,Caatinga,2016,71.33,3.34,25.330000000000002,24.07,1.26
30,SpatialV3,Caatinga,2017,70.7,2.22,27.08,23.55,3.53
30,SpatialV3,Caatinga,2018,70.93,3.4,25.669999999999995,24.24,1.44
30,SpatialV3,Caatinga,2019,70.06,4.48,25.459999999999997,24.18,1.29
30,SpatialV3,Caatinga,2020,69.59,3.3,27.109999999999996,25.5,1.61
30,SpatialV3,Caatinga,2021,70.01,2.78,27.209999999999994,25.98,1.23
30,SpatialV3,Caatinga,2022,68.86,3.14,28.0,25.29,2.7
30,SpatialV3,741,1985,58.7,29.71,11.589999999999996,0.0,11.6
30,SpatialV3,741,1986,71.01,13.04,15.949999999999996,2.9,13.04
30,SpatialV3,741,1987,76.81,8.69,14.499999999999998,7.25,7.24
30,SpatialV3,741,1988,64.49,18.84,16.670000000000005,5.8,10.87
30,SpatialV3,741,1989,65.22,15.94,18.840000000000003,4.35,14.5
30,SpatialV3,741,1990,73.19,14.48,12.330000000000002,1.45,10.87
30,SpatialV3,741,1991,65.22,16.66,18.12,2.9,15.22
30,SpatialV3,741,1992,68.84,15.21,15.949999999999996,5.8,10.14
30,SpatialV3,741,1993,72.46,14.48,13.060000000000006,7.25,5.8
30,SpatialV3,741,1994,71.01,18.11,10.879999999999995,2.9,7.97
30,SpatialV3,741,1995,63.77,18.84,17.389999999999997,5.8,11.6
30,SpatialV3,741,1996,69.57,17.39,13.040000000000006,2.9,10.14
30,SpatialV3,741,1997,65.94,17.38,16.680000000000003,4.35,12.32
30,SpatialV3,741,1998,69.57,15.94,14.490000000000007,5.8,8.7
30,SpatialV3,741,1999,60.87,20.29,18.840000000000003,7.25,11.6
30,SpatialV3,741,2000,72.46,13.77,13.770000000000007,2.9,10.87
