Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
37,SpatialV3su,Caatinga,1985,73.53,2.7,23.77,22.26,1.5
37,SpatialV3su,Caatinga,1986,73.64,2.75,23.61,22.81,0.8
37,SpatialV3su,Caatinga,1987,74.29,2.87,22.839999999999993,22.27,0.58
37,SpatialV3su,Caatinga,1988,74.55,3.04,22.410000000000004,21.84,0.56
37,SpatialV3su,Caatinga,1989,74.49,3.17,22.340000000000003,21.43,0.92
37,SpatialV3su,Caatinga,1990,74.24,3.04,22.720000000000006,21.58,1.14
37,SpatialV3su,Caatinga,1991,74.1,3.22,22.680000000000007,21.08,1.6
37,SpatialV3su,Caatinga,1992,73.44,3.49,23.07,21.2,1.88
37,SpatialV3su,Caatinga,1993,73.58,3.89,22.53,20.61,1.92
37,SpatialV3su,Caatinga,1994,73.52,3.86,22.620000000000005,20.76,1.86
37,SpatialV3su,Caatinga,1995,73.42,3.85,22.729999999999997,20.86,1.86
37,SpatialV3su,Caatinga,1996,73.19,3.66,23.150000000000002,21.26,1.89
37,SpatialV3su,Caatinga,1997,73.46,3.61,22.930000000000007,21.13,1.81
37,SpatialV3su,Caatinga,1998,73.48,3.62,22.899999999999995,21.0,1.9
37,SpatialV3su,Caatinga,1999,73.71,3.06,23.230000000000008,21.34,1.89
37,SpatialV3su,Caatinga,2000,73.64,3.09,23.27,21.54,1.73
37,SpatialV3su,Caatinga,2001,73.52,3.26,23.220000000000006,21.08,2.14
37,SpatialV3su,Caatinga,2002,73.87,3.53,22.599999999999994,20.44,2.15
37,SpatialV3su,Caatinga,2003,73.86,3.39,22.75,20.49,2.26
37,SpatialV3su,Caatinga,2004,73.77,3.4,22.830000000000005,20.7,2.12
37,SpatialV3su,Caatinga,2005,73.89,3.13,22.98,20.96,2.03
37,SpatialV3su,Caatinga,2006,74.04,3.17,22.789999999999992,20.74,2.05
37,SpatialV3su,Caatinga,2007,74.37,3.24,22.389999999999993,20.31,2.07
37,SpatialV3su,Caatinga,2008,74.72,3.14,22.14,20.21,1.93
37,SpatialV3su,Caatinga,2009,74.88,3.2,21.920000000000005,20.08,1.84
37,SpatialV3su,Caatinga,2010,74.93,3.24,21.82999999999999,19.9,1.92
37,SpatialV3su,Caatinga,2011,75.14,3.19,21.669999999999998,19.67,2.01
37,SpatialV3su,Caatinga,2012,75.61,3.3,21.09,18.81,2.28
37,SpatialV3su,Caatinga,2013,75.71,3.68,20.610000000000007,18.27,2.33
37,SpatialV3su,Caatinga,2014,75.43,3.56,21.009999999999994,18.77,2.25
