version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
10,Spatial,Caatinga,1985,63.34,7.97,28.689999999999998,10.47,5.98
10,Spatial,Caatinga,1986,63.19,8.57,28.240000000000002,12.1,2.5
10,Spatial,Caatinga,1987,66.27,7.39,26.340000000000003,11.02,1.27
10,Spatial,Caatinga,1988,65.52,7.06,27.420000000000005,11.7,1.24
10,Spatial,Caatinga,1989,64.42,7.38,28.2,11.8,1.46
10,Spatial,Caatinga,1990,65.55,5.11,29.340000000000003,12.44,1.76
10,Spatial,Caatinga,1991,64.45,7.9,27.65,12.42,1.1
10,Spatial,Caatinga,1992,63.43,7.4,29.17,12.56,1.36
10,Spatial,Caatinga,1993,65.29,6.18,28.529999999999994,12.1,1.15
10,Spatial,Caatinga,1994,63.64,6.31,30.05,13.1,1.36
10,Spatial,Caatinga,1995,63.49,7.13,29.38,12.26,1.36
10,Spatial,Caatinga,1996,64.16,6.3,29.540000000000003,12.81,1.39
10,Spatial,Caatinga,1997,63.29,7.01,29.700000000000003,12.01,1.3
10,Spatial,Caatinga,1998,63.66,7.16,29.180000000000003,13.08,1.54
10,Spatial,Caatinga,1999,62.65,7.29,30.060000000000002,12.5,1.48
10,Spatial,Caatinga,2000,65.17,6.86,27.97,11.63,1.66
10,Spatial,Caatinga,2001,65.16,5.78,29.060000000000002,12.14,1.25
10,Spatial,Caatinga,2002,66.1,6.39,27.510000000000005,11.5,1.25
10,Spatial,Caatinga,2003,63.19,5.76,31.050000000000004,12.52,1.36
10,Spatial,Caatinga,2004,65.65,5.52,28.829999999999995,12.32,1.26
10,Spatial,Caatinga,2005,64.2,6.34,29.459999999999997,12.42,1.1
10,Spatial,Caatinga,2006,64.8,5.78,29.42,12.0,1.36
10,Spatial,Caatinga,2007,65.73,4.64,29.629999999999995,12.3,1.48
10,Spatial,Caatinga,2008,65.57,5.12,29.310000000000006,11.92,1.2
10,Spatial,Caatinga,2009,65.28,6.57,28.15,12.1,1.03
10,Spatial,Caatinga,2010,63.67,6.59,29.74,12.9,1.36
10,Spatial,Caatinga,2011,62.89,8.44,28.67,12.85,1.16
10,Spatial,Caatinga,2012,64.76,5.9,29.339999999999996,12.2,1.09
10,Spatial,Caatinga,2013,66.71,5.36,27.930000000000007,12.34,1.32
10,Spatial,Caatinga,2014,65.89,5.35,28.759999999999998,12.23,1.24
10,Spatial,Caatinga,2015,66.91,5.67,27.42,12.17,0.96
10,Spatial,Caatinga,2016,67.7,4.87,27.429999999999996,11.87,1.12
10,Spatial,Caatinga,2017,66.14,5.19,28.669999999999998,12.83,1.14
10,Spatial,Caatinga,2018,66.93,4.54,28.529999999999994,12.24,1.09
10,Spatial,Caatinga,2019,66.29,6.83,26.879999999999995,11.68,0.96
10,Spatial,Caatinga,2020,66.0,5.9,28.1,11.92,1.2
