version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
5,Spatial,Caatinga,1985,68.49,9.5,22.010000000000005,10.45,0.53
5,Spatial,Caatinga,1986,63.62,16.29,20.090000000000003,9.86,0.58
5,Spatial,Caatinga,1987,66.36,13.44,20.200000000000003,8.86,0.79
5,Spatial,Caatinga,1988,65.91,14.17,19.92,9.09,0.74
5,Spatial,Caatinga,1989,63.75,15.46,20.79,9.17,0.92
5,Spatial,Caatinga,1990,65.74,13.86,20.400000000000006,9.08,0.92
5,Spatial,Caatinga,1991,65.13,14.92,19.950000000000003,9.23,1.0
5,Spatial,Caatinga,1992,64.1,14.2,21.700000000000006,9.52,0.9
5,Spatial,Caatinga,1993,64.92,15.1,19.979999999999997,9.81,0.7
5,Spatial,Caatinga,1994,64.49,14.83,20.680000000000007,10.14,0.76
5,Spatial,Caatinga,1995,65.27,13.53,21.200000000000003,9.47,0.65
5,Spatial,Caatinga,1996,65.03,13.35,21.619999999999997,9.66,0.71
5,Spatial,Caatinga,1997,64.9,13.28,21.819999999999993,9.33,1.14
5,Spatial,Caatinga,1998,64.23,15.06,20.709999999999994,9.9,0.84
5,Spatial,Caatinga,1999,63.81,14.18,22.009999999999998,9.95,0.98
5,Spatial,Caatinga,2000,65.98,13.4,20.619999999999997,9.53,0.74
5,Spatial,Caatinga,2001,66.69,12.63,20.68,9.08,0.88
5,Spatial,Caatinga,2002,66.29,12.52,21.189999999999994,9.38,0.84
5,Spatial,Caatinga,2003,65.42,12.59,21.99,9.74,0.92
5,Spatial,Caatinga,2004,66.11,11.7,22.19,9.63,1.17
5,Spatial,Caatinga,2005,64.96,13.9,21.140000000000008,9.82,1.1
5,Spatial,Caatinga,2006,65.36,13.06,21.58,9.62,0.73
5,Spatial,Caatinga,2007,66.56,12.4,21.04,9.89,0.9
5,Spatial,Caatinga,2008,67.28,10.66,22.06,10.12,0.9
5,Spatial,Caatinga,2009,66.96,12.66,20.380000000000006,9.59,0.86
5,Spatial,Caatinga,2010,65.69,13.07,21.240000000000002,9.63,0.58
5,Spatial,Caatinga,2011,65.37,13.8,20.829999999999995,9.39,1.11
5,Spatial,Caatinga,2012,65.5,15.41,19.09,9.38,0.72
5,Spatial,Caatinga,2013,66.71,15.26,18.03000000000001,9.08,0.68
5,Spatial,Caatinga,2014,67.0,14.27,18.73,9.35,0.56
5,Spatial,Caatinga,2015,67.77,13.32,18.910000000000004,9.5,0.56
5,Spatial,Caatinga,2016,68.27,13.04,18.690000000000005,8.86,0.62
5,Spatial,Caatinga,2017,66.9,13.19,19.909999999999997,10.26,0.62
