Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
10,Spatial,Caatinga,1985,63.22,11.68,25.1,19.25,5.66
10,Spatial,Caatinga,1986,63.06,8.05,28.889999999999997,25.72,2.98
10,Spatial,Caatinga,1987,66.15,8.02,25.829999999999995,23.8,1.84
10,Spatial,Caatinga,1988,65.36,7.4,27.240000000000002,25.53,1.5
10,Spatial,Caatinga,1989,64.28,7.72,28.0,26.16,1.64
10,Spatial,Caatinga,1990,65.41,5.88,28.710000000000004,26.76,1.74
10,Spatial,Caatinga,1991,64.31,8.08,27.61,25.31,2.1
10,Spatial,Caatinga,1992,63.28,8.14,28.58,23.53,4.85
10,Spatial,Caatinga,1993,65.16,7.95,26.890000000000004,22.53,4.16
10,Spatial,Caatinga,1994,63.48,7.27,29.250000000000004,25.22,3.83
10,Spatial,Caatinga,1995,63.36,7.75,28.89,25.19,3.52
10,Spatial,Caatinga,1996,64.05,6.75,29.200000000000003,24.85,4.16
10,Spatial,Caatinga,1997,63.15,8.73,28.12,23.2,4.73
10,Spatial,Caatinga,1998,63.5,8.64,27.86,22.87,4.79
10,Spatial,Caatinga,1999,62.53,8.49,28.979999999999997,24.06,4.72
10,Spatial,Caatinga,2000,65.03,7.39,27.58,23.34,4.05
10,Spatial,Caatinga,2001,65.01,6.91,28.079999999999995,23.94,3.94
10,Spatial,Caatinga,2002,65.95,7.64,26.409999999999997,21.9,4.31
10,Spatial,Caatinga,2003,63.04,10.71,26.25,21.74,4.31
10,Spatial,Caatinga,2004,65.52,7.6,26.880000000000003,22.69,3.99
10,Spatial,Caatinga,2005,64.07,7.18,28.750000000000007,24.6,3.96
10,Spatial,Caatinga,2006,64.67,6.96,28.369999999999997,24.18,4.0
10,Spatial,Caatinga,2007,65.6,6.44,27.960000000000004,24.36,3.4
10,Spatial,Caatinga,2008,65.42,6.08,28.5,25.35,2.94
10,Spatial,Caatinga,2009,65.15,6.96,27.889999999999993,24.93,2.76
10,Spatial,Caatinga,2010,63.56,7.01,29.43,25.19,4.05
10,Spatial,Caatinga,2011,62.76,8.3,28.94,25.8,2.95
10,Spatial,Caatinga,2012,64.63,12.2,23.170000000000005,19.06,3.91
10,Spatial,Caatinga,2013,66.61,11.07,22.32,18.2,3.92
10,Spatial,Caatinga,2014,65.77,7.38,26.850000000000005,23.09,3.56
10,Spatial,Caatinga,2015,66.79,7.98,25.229999999999993,21.16,3.86
10,Spatial,Caatinga,2016,67.59,9.66,22.749999999999996,19.17,3.38
10,Spatial,Caatinga,2017,66.02,10.28,23.700000000000003,20.01,3.5
10,Spatial,Caatinga,2018,66.81,8.9,24.29,20.84,3.24
10,Spatial,Caatinga,2019,66.16,8.0,25.840000000000003,21.36,4.28
10,Spatial,Caatinga,2020,65.88,8.33,25.790000000000006,21.54,4.05
10,Spatial,Caatinga,2021,65.93,8.64,25.429999999999993,22.31,2.92
10,Spatial,Caatinga,2022,65.02,9.5,25.480000000000004,21.0,4.28
10,Spatial,741,1985,74.55,12.73,12.720000000000002,0.0,12.73
10,Spatial,741,1986,70.0,14.55,15.45,1.82,13.64
10,Spatial,741,1987,75.45,12.72,11.829999999999997,9.09,2.72
10,Spatial,741,1988,70.91,16.37,12.720000000000002,1.82,10.91
10,Spatial,741,1989,58.18,25.46,16.36,5.46,10.91
10,Spatial,741,1990,68.18,16.37,15.449999999999992,5.46,10.0
10,Spatial,741,1991,59.09,24.55,16.359999999999996,3.64,12.73
10,Spatial,741,1992,60.91,18.18,20.910000000000004,5.46,15.46
10,Spatial,741,1993,73.64,12.73,13.629999999999999,10.91,2.73
10,Spatial,741,1994,66.36,20.0,13.64,3.64,10.0
10,Spatial,741,1995,63.64,17.27,19.09,7.28,11.82
