Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
20,TemporalV3J3,Caatinga,1985,71.38,3.96,24.660000000000004,23.46,1.22
20,TemporalV3J3,Caatinga,1986,71.67,1.98,26.349999999999998,24.94,1.42
20,TemporalV3J3,Caatinga,1987,73.18,1.07,25.749999999999993,24.83,0.93
20,TemporalV3J3,Caatinga,1988,73.49,1.96,24.550000000000004,23.51,1.06
20,TemporalV3J3,Caatinga,1989,72.81,1.6,25.589999999999996,24.29,1.3
20,TemporalV3J3,Caatinga,1990,72.11,1.49,26.400000000000002,25.66,0.74
20,TemporalV3J3,Caatinga,1991,71.95,2.26,25.79,24.85,0.94
20,TemporalV3J3,Caatinga,1992,71.66,4.52,23.820000000000004,22.9,0.94
20,TemporalV3J3,Caatinga,1993,72.22,5.2,22.580000000000002,21.95,0.64
20,TemporalV3J3,Caatinga,1994,72.06,4.93,23.009999999999998,21.64,1.38
20,TemporalV3J3,Caatinga,1995,71.15,4.06,24.789999999999996,23.82,0.98
20,TemporalV3J3,Caatinga,1996,70.7,4.06,25.24,24.34,0.91
20,TemporalV3J3,Caatinga,1997,70.82,4.68,24.500000000000007,23.68,0.82
20,TemporalV3J3,Caatinga,1998,71.13,6.15,22.720000000000006,21.75,0.98
20,TemporalV3J3,Caatinga,1999,71.13,5.45,23.420000000000005,22.85,0.57
20,TemporalV3J3,Caatinga,2000,71.42,4.47,24.11,23.43,0.68
20,TemporalV3J3,Caatinga,2001,71.47,4.62,23.91,22.92,1.0
20,TemporalV3J3,Caatinga,2002,71.78,5.13,23.09,21.95,1.14
20,TemporalV3J3,Caatinga,2003,71.51,5.81,22.679999999999996,21.54,1.14
20,TemporalV3J3,Caatinga,2004,71.78,5.79,22.43,21.48,0.96
20,TemporalV3J3,Caatinga,2005,71.41,4.72,23.870000000000005,22.94,0.94
20,TemporalV3J3,Caatinga,2006,71.32,4.48,24.200000000000006,23.28,0.92
20,TemporalV3J3,Caatinga,2007,71.44,4.48,24.080000000000002,23.43,0.64
20,TemporalV3J3,Caatinga,2008,71.53,4.92,23.549999999999997,22.85,0.7
20,TemporalV3J3,Caatinga,2009,71.45,4.68,23.869999999999997,23.21,0.66
20,TemporalV3J3,Caatinga,2010,71.17,4.71,24.119999999999997,23.43,0.68
20,TemporalV3J3,Caatinga,2011,71.61,5.03,23.36,22.58,0.78
20,TemporalV3J3,Caatinga,2012,72.79,5.76,21.449999999999996,20.76,0.68
20,TemporalV3J3,Caatinga,2013,73.05,6.86,20.090000000000003,19.05,1.03
20,TemporalV3J3,Caatinga,2014,72.7,5.62,21.679999999999996,20.71,0.97
