Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
5,Temporal,Caatinga,1985,64.48,11.22,24.299999999999997,18.91,5.21
5,Temporal,Caatinga,1986,67.07,8.72,24.210000000000008,21.38,2.62
5,Temporal,Caatinga,1987,68.05,8.86,23.090000000000003,20.96,1.94
5,Temporal,Caatinga,1988,68.17,8.84,22.99,20.73,2.06
5,Temporal,Caatinga,1989,67.57,9.31,23.120000000000005,20.61,2.3
5,Temporal,Caatinga,1990,68.01,8.73,23.259999999999994,20.8,2.26
5,Temporal,Caatinga,1991,67.89,9.09,23.02,20.49,2.32
5,Temporal,Caatinga,1992,67.53,8.53,23.939999999999998,21.24,2.49
5,Temporal,Caatinga,1993,67.58,9.3,23.12,20.35,2.56
5,Temporal,Caatinga,1994,68.03,8.34,23.63,20.25,3.17
5,Temporal,Caatinga,1995,67.87,7.46,24.669999999999995,20.07,4.4
5,Temporal,Caatinga,1996,67.61,7.76,24.630000000000003,20.09,4.34
5,Temporal,Caatinga,1997,67.85,8.31,23.840000000000003,20.41,3.22
5,Temporal,Caatinga,1998,66.75,9.94,23.310000000000002,20.23,2.86
5,Temporal,Caatinga,1999,67.6,8.85,23.550000000000004,20.35,2.99
5,Temporal,Caatinga,2000,68.72,7.56,23.720000000000002,20.37,3.14
5,Temporal,Caatinga,2001,69.3,7.59,23.110000000000003,19.51,3.4
5,Temporal,Caatinga,2002,69.43,7.25,23.319999999999993,20.03,3.08
5,Temporal,Caatinga,2003,68.69,8.08,23.230000000000004,20.15,2.87
5,Temporal,Caatinga,2004,68.65,7.74,23.609999999999992,20.31,3.1
5,Temporal,Caatinga,2005,67.83,8.8,23.37,20.56,2.62
5,Temporal,Caatinga,2006,68.18,8.16,23.659999999999993,21.1,2.35
5,Temporal,Caatinga,2007,69.02,7.4,23.580000000000005,20.92,2.46
5,Temporal,Caatinga,2008,69.68,6.46,23.859999999999992,21.06,2.58
5,Temporal,Caatinga,2009,69.77,6.97,23.260000000000005,20.29,2.75
5,Temporal,Caatinga,2010,69.96,6.87,23.170000000000005,20.61,2.33
5,Temporal,Caatinga,2011,70.21,7.04,22.750000000000007,19.28,3.26
5,Temporal,Caatinga,2012,68.92,10.48,20.599999999999998,17.45,2.94
5,Temporal,Caatinga,2013,69.66,9.67,20.67,17.21,3.25
5,Temporal,Caatinga,2014,69.84,9.26,20.9,18.18,2.51
5,Temporal,Caatinga,2015,69.87,8.87,21.259999999999998,18.96,2.08
5,Temporal,Caatinga,2016,70.52,8.18,21.300000000000004,18.86,2.22
5,Temporal,Caatinga,2017,69.54,8.44,22.019999999999996,19.1,2.7
5,Temporal,Caatinga,2018,69.75,6.96,23.29,19.3,3.77
5,Temporal,Caatinga,2019,69.38,7.98,22.640000000000004,18.92,3.51
5,Temporal,Caatinga,2020,69.53,7.91,22.56,18.1,4.24
5,Temporal,Caatinga,2021,70.27,6.99,22.740000000000002,18.52,4.01
5,Temporal,Caatinga,2022,68.87,7.82,23.309999999999995,17.96,5.14
5,Temporal,741,1985,76.36,10.91,12.73,1.82,10.91
