version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
9,toExport,Caatinga,1985,71.96,2.88,25.160000000000007,11.64,0.84
9,toExport,Caatinga,1986,71.41,3.2,25.390000000000004,11.75,0.86
9,toExport,Caatinga,1987,71.25,2.95,25.8,11.76,0.83
9,toExport,Caatinga,1988,70.89,3.43,25.68,11.28,0.99
9,toExport,Caatinga,1989,71.11,2.93,25.96,11.5,0.82
9,toExport,Caatinga,1990,71.22,2.68,26.1,11.66,1.12
9,toExport,Caatinga,1991,71.09,2.84,26.069999999999997,11.99,1.01
9,toExport,Caatinga,1992,69.77,3.17,27.060000000000002,12.44,1.17
9,toExport,Caatinga,1993,69.68,4.07,26.249999999999993,11.57,1.5
9,toExport,Caatinga,1994,70.49,2.5,27.010000000000005,11.66,1.21
9,toExport,Caatinga,1995,69.3,3.16,27.540000000000003,12.06,0.98
9,toExport,Caatinga,1996,68.54,3.76,27.699999999999996,11.98,1.2
9,toExport,Caatinga,1997,69.12,3.39,27.489999999999995,11.74,1.2
9,toExport,Caatinga,1998,69.07,4.32,26.610000000000007,11.98,1.14
9,toExport,Caatinga,1999,69.09,4.16,26.749999999999996,10.84,1.66
9,toExport,Caatinga,2000,70.26,3.4,26.339999999999996,10.81,1.66
9,toExport,Caatinga,2001,70.41,2.89,26.700000000000003,10.41,1.82
9,toExport,Caatinga,2002,70.83,2.97,26.200000000000003,10.47,1.44
9,toExport,Caatinga,2003,70.02,2.2,27.780000000000005,11.5,1.46
9,toExport,Caatinga,2004,69.84,2.42,27.739999999999995,11.6,1.53
9,toExport,Caatinga,2005,69.67,3.09,27.24,11.97,1.24
9,toExport,Caatinga,2006,69.84,2.91,27.249999999999996,11.63,1.58
9,toExport,Caatinga,2007,70.11,3.6,26.29,10.68,2.06
9,toExport,Caatinga,2008,70.43,2.88,26.689999999999994,11.15,1.64
9,toExport,Caatinga,2009,70.42,2.9,26.68,11.66,1.14
9,toExport,Caatinga,2010,70.27,3.37,26.360000000000003,11.41,1.66
9,toExport,Caatinga,2011,70.24,3.06,26.700000000000006,11.91,1.06
9,toExport,Caatinga,2012,69.89,4.33,25.78,10.92,1.5
9,toExport,Caatinga,2013,70.44,4.08,25.480000000000004,11.38,1.46
9,toExport,Caatinga,2014,70.79,3.26,25.949999999999996,11.66,1.64
9,toExport,Caatinga,2015,70.98,3.08,25.939999999999998,11.18,1.5
9,toExport,Caatinga,2016,70.99,3.38,25.630000000000006,10.94,1.6
9,toExport,Caatinga,2017,70.98,2.76,26.259999999999998,11.1,1.93
9,toExport,Caatinga,2018,71.22,2.68,26.1,11.14,1.52
9,toExport,Caatinga,2019,70.64,3.46,25.9,11.05,1.36
9,toExport,Caatinga,2020,70.52,2.99,26.490000000000002,11.18,1.43
9,toExport,Caatinga,2021,70.71,2.2,27.090000000000007,10.82,1.56
9,toExport,Caatinga,2022,71.1,1.96,26.940000000000005,10.7,1.51
9,toExport,741,1985,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1986,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1987,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1988,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1989,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1990,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1991,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1992,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1993,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1994,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1995,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1996,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1997,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1998,0.0,0.0,0.0,0.0,0.0
9,toExport,741,1999,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2000,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2001,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2002,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2003,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2004,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2005,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2006,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2007,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2008,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2009,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2010,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2011,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2012,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2013,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2014,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2015,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2016,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2017,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2018,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2019,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2020,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2021,0.0,0.0,0.0,0.0,0.0
9,toExport,741,2022,0.0,0.0,0.0,0.0,0.0
9,toExport,7421,1985,82.5,4.29,13.21,2.86,0.0
9,toExport,7421,1986,90.0,0.0,10.0,2.78,0.0
9,toExport,7421,1987,85.0,1.43,13.57,2.86,0.0
9,toExport,7421,1988,85.0,2.86,12.14,2.86,1.43
9,toExport,7421,1989,85.0,4.23,10.77,2.82,0.0
9,toExport,7421,1990,88.75,2.86,8.39,2.86,0.0
9,toExport,7421,1991,87.5,2.86,9.64,2.86,0.0
9,toExport,7421,1992,83.75,2.94,13.31,2.94,1.47
9,toExport,7421,1993,85.0,2.94,12.06,2.94,2.94
9,toExport,7421,1994,83.75,3.08,13.17,3.08,0.0
9,toExport,7421,1995,81.25,4.76,13.99,0.0,0.0
