Version,Models,Bacia,Years,global_accuracy,quantity diss,alloc dis,exchange,shift
9,toExport,Caatinga,1985,65.95,8.87,25.18,19.9,5.01
9,toExport,Caatinga,1986,68.49,4.2,27.310000000000006,24.3,2.7
9,toExport,Caatinga,1987,69.38,4.34,26.280000000000005,22.86,3.13
9,toExport,Caatinga,1988,69.28,4.45,26.27,22.88,3.1
9,toExport,Caatinga,1989,69.47,4.14,26.39,23.58,2.53
9,toExport,Caatinga,1990,69.66,3.94,26.400000000000002,23.74,2.36
9,toExport,Caatinga,1991,69.32,4.9,25.78000000000001,22.94,2.54
9,toExport,Caatinga,1992,68.11,6.74,25.15,22.19,2.66
9,toExport,Caatinga,1993,68.19,7.87,23.94,20.51,3.14
9,toExport,Caatinga,1994,69.07,6.75,24.180000000000007,21.84,2.04
9,toExport,Caatinga,1995,67.99,6.42,25.590000000000003,22.75,2.55
9,toExport,Caatinga,1996,67.16,7.12,25.720000000000002,22.64,2.78
9,toExport,Caatinga,1997,67.42,8.05,24.529999999999998,21.5,2.74
9,toExport,Caatinga,1998,67.26,8.43,24.309999999999995,20.9,3.12
9,toExport,Caatinga,1999,67.5,8.01,24.490000000000002,20.93,3.29
9,toExport,Caatinga,2000,68.79,7.38,23.829999999999995,20.76,2.78
9,toExport,Caatinga,2001,69.17,7.49,23.339999999999996,20.39,2.66
9,toExport,Caatinga,2002,69.5,8.18,22.32,19.61,2.42
9,toExport,Caatinga,2003,68.64,9.13,22.229999999999997,19.86,2.08
9,toExport,Caatinga,2004,68.47,8.16,23.37,20.82,2.25
9,toExport,Caatinga,2005,68.34,7.33,24.33,21.74,2.28
9,toExport,Caatinga,2006,68.79,6.78,24.429999999999993,21.86,2.26
9,toExport,Caatinga,2007,69.19,7.24,23.57,20.38,2.9
9,toExport,Caatinga,2008,69.33,6.28,24.39,21.8,2.3
9,toExport,Caatinga,2009,69.14,5.88,24.98,22.7,1.99
9,toExport,Caatinga,2010,68.84,6.08,25.08,22.1,2.68
9,toExport,Caatinga,2011,68.84,7.39,23.769999999999996,21.28,2.2
9,toExport,Caatinga,2012,68.42,10.55,21.029999999999998,17.66,3.08
9,toExport,Caatinga,2013,69.26,9.86,20.879999999999995,17.6,2.99
9,toExport,Caatinga,2014,69.34,8.7,21.959999999999997,19.15,2.5
9,toExport,Caatinga,2015,69.63,8.55,21.820000000000004,19.2,2.34
9,toExport,Caatinga,2016,69.66,9.53,20.810000000000002,18.14,2.38
9,toExport,Caatinga,2017,69.4,9.74,20.859999999999992,18.34,2.23
9,toExport,Caatinga,2018,69.83,9.16,21.01,18.73,1.97
9,toExport,Caatinga,2019,69.47,8.94,21.590000000000003,19.02,2.28
9,toExport,Caatinga,2020,69.3,8.46,22.240000000000002,19.62,2.33
9,toExport,Caatinga,2021,69.32,9.03,21.650000000000006,19.39,1.97
9,toExport,Caatinga,2022,69.22,9.75,21.03,18.94,1.8
