,Version,Models,Bacia,Years,Accuracy,Accuracy_Bal,Precision,ReCall,F1-Score,Jaccard
0,16,FrequencyV2nat,Caatinga,1985,,,,,,
1,16,FrequencyV2nat,Caatinga,1986,,,,,,
2,16,FrequencyV2nat,Caatinga,1987,,,,,,
3,16,FrequencyV2nat,Caatinga,1988,,,,,,
4,16,FrequencyV2nat,Caatinga,1989,,,,,,
5,16,FrequencyV2nat,Caatinga,1990,,,,,,
6,16,FrequencyV2nat,Caatinga,1991,,,,,,
7,16,FrequencyV2nat,Caatinga,1992,,,,,,
8,16,FrequencyV2nat,Caatinga,1993,,,,,,
9,16,FrequencyV2nat,Caatinga,1994,,,,,,
10,16,FrequencyV2nat,Caatinga,1995,,,,,,
11,16,FrequencyV2nat,Caatinga,1996,,,,,,
12,16,FrequencyV2nat,Caatinga,1997,,,,,,
13,16,FrequencyV2nat,Caatinga,1998,,,,,,
14,16,FrequencyV2nat,Caatinga,1999,,,,,,
15,16,FrequencyV2nat,Caatinga,2000,,,,,,
16,16,FrequencyV2nat,Caatinga,2001,,,,,,
17,16,FrequencyV2nat,Caatinga,2002,,,,,,
18,16,FrequencyV2nat,Caatinga,2003,,,,,,
19,16,FrequencyV2nat,Caatinga,2004,,,,,,
20,16,FrequencyV2nat,Caatinga,2005,,,,,,
21,16,FrequencyV2nat,Caatinga,2006,,,,,,
22,16,FrequencyV2nat,Caatinga,2007,,,,,,
23,16,FrequencyV2nat,Caatinga,2008,,,,,,
24,16,FrequencyV2nat,Caatinga,2009,,,,,,
25,16,FrequencyV2nat,Caatinga,2010,,,,,,
26,16,FrequencyV2nat,Caatinga,2011,,,,,,
27,16,FrequencyV2nat,Caatinga,2012,,,,,,
28,16,FrequencyV2nat,Caatinga,2013,,,,,,
29,16,FrequencyV2nat,Caatinga,2014,,,,,,
30,16,FrequencyV2nat,Caatinga,2015,,,,,,
31,16,FrequencyV2nat,Caatinga,2016,,,,,,
32,16,FrequencyV2nat,Caatinga,2017,,,,,,
33,16,FrequencyV2nat,Caatinga,2018,,,,,,
34,16,FrequencyV2nat,Caatinga,2019,,,,,,
35,16,FrequencyV2nat,Caatinga,2020,,,,,,
36,16,FrequencyV2nat,Caatinga,2021,,,,,,
37,16,FrequencyV2nat,Caatinga,2022,,,,,,
38,16,FrequencyV2nat,741,1985,,,,,,
39,16,FrequencyV2nat,741,1986,,,,,,
40,16,FrequencyV2nat,741,1987,,,,,,
41,16,FrequencyV2nat,741,1988,,,,,,
42,16,FrequencyV2nat,741,1989,,,,,,
43,16,FrequencyV2nat,741,1990,,,,,,
44,16,FrequencyV2nat,741,1991,,,,,,
45,16,FrequencyV2nat,741,1992,,,,,,
46,16,FrequencyV2nat,741,1993,,,,,,
47,16,FrequencyV2nat,741,1994,,,,,,
48,16,FrequencyV2nat,741,1995,,,,,,
49,16,FrequencyV2nat,741,1996,,,,,,
50,16,FrequencyV2nat,741,1997,,,,,,
51,16,FrequencyV2nat,741,1998,,,,,,
52,16,FrequencyV2nat,741,1999,,,,,,
53,16,FrequencyV2nat,741,2000,,,,,,
54,16,FrequencyV2nat,741,2001,,,,,,
55,16,FrequencyV2nat,741,2002,,,,,,
56,16,FrequencyV2nat,741,2003,,,,,,
57,16,FrequencyV2nat,741,2004,,,,,,
58,16,FrequencyV2nat,741,2005,,,,,,
59,16,FrequencyV2nat,741,2006,,,,,,
60,16,FrequencyV2nat,741,2007,,,,,,
61,16,FrequencyV2nat,741,2008,,,,,,
62,16,FrequencyV2nat,741,2009,,,,,,
63,16,FrequencyV2nat,741,2010,,,,,,
64,16,FrequencyV2nat,741,2011,,,,,,
65,16,FrequencyV2nat,741,2012,,,,,,
66,16,FrequencyV2nat,741,2013,,,,,,
67,16,FrequencyV2nat,741,2014,,,,,,
68,16,FrequencyV2nat,741,2015,,,,,,
69,16,FrequencyV2nat,741,2016,,,,,,
70,16,FrequencyV2nat,741,2017,,,,,,
71,16,FrequencyV2nat,741,2018,,,,,,
72,16,FrequencyV2nat,741,2019,,,,,,
73,16,FrequencyV2nat,741,2020,,,,,,
74,16,FrequencyV2nat,741,2021,,,,,,
75,16,FrequencyV2nat,741,2022,,,,,,
76,16,FrequencyV2nat,7421,1985,,,,,,
77,16,FrequencyV2nat,7421,1986,,,,,,
78,16,FrequencyV2nat,7421,1987,,,,,,
79,16,FrequencyV2nat,7421,1988,,,,,,
80,16,FrequencyV2nat,7421,1989,,,,,,
81,16,FrequencyV2nat,7421,1990,,,,,,
82,16,FrequencyV2nat,7421,1991,,,,,,
83,16,FrequencyV2nat,7421,1992,,,,,,
84,16,FrequencyV2nat,7421,1993,,,,,,
85,16,FrequencyV2nat,7421,1994,,,,,,
86,16,FrequencyV2nat,7421,1995,,,,,,
87,16,FrequencyV2nat,7421,1996,,,,,,
88,16,FrequencyV2nat,7421,1997,,,,,,
89,16,FrequencyV2nat,7421,1998,,,,,,
90,16,FrequencyV2nat,7421,1999,,,,,,
91,16,FrequencyV2nat,7421,2000,,,,,,
92,16,FrequencyV2nat,7421,2001,,,,,,
93,16,FrequencyV2nat,7421,2002,,,,,,
94,16,FrequencyV2nat,7421,2003,,,,,,
95,16,FrequencyV2nat,7421,2004,,,,,,
96,16,FrequencyV2nat,7421,2005,,,,,,
97,16,FrequencyV2nat,7421,2006,,,,,,
98,16,FrequencyV2nat,7421,2007,,,,,,
99,16,FrequencyV2nat,7421,2008,,,,,,
100,16,FrequencyV2nat,7421,2009,,,,,,
101,16,FrequencyV2nat,7421,2010,,,,,,
102,16,FrequencyV2nat,7421,2011,,,,,,
103,16,FrequencyV2nat,7421,2012,,,,,,
104,16,FrequencyV2nat,7421,2013,,,,,,
105,16,FrequencyV2nat,7421,2014,,,,,,
106,16,FrequencyV2nat,7421,2015,,,,,,
107,16,FrequencyV2nat,7421,2016,,,,,,
108,16,FrequencyV2nat,7421,2017,,,,,,
109,16,FrequencyV2nat,7421,2018,,,,,,
110,16,FrequencyV2nat,7421,2019,,,,,,
111,16,FrequencyV2nat,7421,2020,,,,,,
112,16,FrequencyV2nat,7421,2021,,,,,,
113,16,FrequencyV2nat,7421,2022,,,,,,
114,16,FrequencyV2nat,7422,1985,,,,,,
115,16,FrequencyV2nat,7422,1986,,,,,,
116,16,FrequencyV2nat,7422,1987,,,,,,
117,16,FrequencyV2nat,7422,1988,,,,,,
118,16,FrequencyV2nat,7422,1989,,,,,,
119,16,FrequencyV2nat,7422,1990,,,,,,
120,16,FrequencyV2nat,7422,1991,,,,,,
121,16,FrequencyV2nat,7422,1992,,,,,,
122,16,FrequencyV2nat,7422,1993,,,,,,
123,16,FrequencyV2nat,7422,1994,,,,,,
124,16,FrequencyV2nat,7422,1995,,,,,,
125,16,FrequencyV2nat,7422,1996,,,,,,
126,16,FrequencyV2nat,7422,1997,,,,,,
127,16,FrequencyV2nat,7422,1998,,,,,,
128,16,FrequencyV2nat,7422,1999,,,,,,
129,16,FrequencyV2nat,7422,2000,,,,,,
130,16,FrequencyV2nat,7422,2001,,,,,,
131,16,FrequencyV2nat,7422,2002,,,,,,
132,16,FrequencyV2nat,7422,2003,,,,,,
133,16,FrequencyV2nat,7422,2004,,,,,,
134,16,FrequencyV2nat,7422,2005,,,,,,
135,16,FrequencyV2nat,7422,2006,,,,,,
136,16,FrequencyV2nat,7422,2007,,,,,,
137,16,FrequencyV2nat,7422,2008,,,,,,
138,16,FrequencyV2nat,7422,2009,,,,,,
139,16,FrequencyV2nat,7422,2010,,,,,,
140,16,FrequencyV2nat,7422,2011,,,,,,
141,16,FrequencyV2nat,7422,2012,,,,,,
142,16,FrequencyV2nat,7422,2013,,,,,,
143,16,FrequencyV2nat,7422,2014,,,,,,
144,16,FrequencyV2nat,7422,2015,,,,,,
145,16,FrequencyV2nat,7422,2016,,,,,,
146,16,FrequencyV2nat,7422,2017,,,,,,
147,16,FrequencyV2nat,7422,2018,,,,,,
148,16,FrequencyV2nat,7422,2019,,,,,,
149,16,FrequencyV2nat,7422,2020,,,,,,
150,16,FrequencyV2nat,7422,2021,,,,,,
151,16,FrequencyV2nat,7422,2022,,,,,,
152,16,FrequencyV2nat,744,1985,,,,,,
153,16,FrequencyV2nat,744,1986,,,,,,
154,16,FrequencyV2nat,744,1987,,,,,,
155,16,FrequencyV2nat,744,1988,,,,,,
156,16,FrequencyV2nat,744,1989,,,,,,
157,16,FrequencyV2nat,744,1990,,,,,,
158,16,FrequencyV2nat,744,1991,,,,,,
159,16,FrequencyV2nat,744,1992,,,,,,
160,16,FrequencyV2nat,744,1993,,,,,,
161,16,FrequencyV2nat,744,1994,,,,,,
162,16,FrequencyV2nat,744,1995,,,,,,
163,16,FrequencyV2nat,744,1996,,,,,,
164,16,FrequencyV2nat,744,1997,,,,,,
165,16,FrequencyV2nat,744,1998,,,,,,
166,16,FrequencyV2nat,744,1999,,,,,,
167,16,FrequencyV2nat,744,2000,,,,,,
168,16,FrequencyV2nat,744,2001,,,,,,
169,16,FrequencyV2nat,744,2002,,,,,,
170,16,FrequencyV2nat,744,2003,,,,,,
171,16,FrequencyV2nat,744,2004,,,,,,
172,16,FrequencyV2nat,744,2005,,,,,,
173,16,FrequencyV2nat,744,2006,,,,,,
174,16,FrequencyV2nat,744,2007,,,,,,
175,16,FrequencyV2nat,744,2008,,,,,,
176,16,FrequencyV2nat,744,2009,,,,,,
177,16,FrequencyV2nat,744,2010,,,,,,
178,16,FrequencyV2nat,744,2011,,,,,,
179,16,FrequencyV2nat,744,2012,,,,,,
180,16,FrequencyV2nat,744,2013,,,,,,
181,16,FrequencyV2nat,744,2014,,,,,,
182,16,FrequencyV2nat,744,2015,,,,,,
183,16,FrequencyV2nat,744,2016,,,,,,
184,16,FrequencyV2nat,744,2017,,,,,,
185,16,FrequencyV2nat,744,2018,,,,,,
