,Version,Models,Bacia,Years,Accuracy,Accuracy_Bal,Precision,ReCall,F1-Score,Jaccard
0,13,Frequency,Caatinga,1985,0.677850326469111,0.3533536411393235,0.3593651278688679,0.3533536411393235,0.3524353304630179,0.2609814278838679
1,13,Frequency,Caatinga,1986,0.7097940733299849,0.3357005149576784,0.35911282822380125,0.3357005149576784,0.3449266542892969,0.25951711353584034
2,13,Frequency,Caatinga,1987,0.7161225514816675,0.3352323509723361,0.3735366049097594,0.3352323509723361,0.35082935462343107,0.2611186283970014
3,13,Frequency,Caatinga,1988,0.7181315921647413,0.3388182426609742,0.3756904373446235,0.3388182426609742,0.35414051152034265,0.2636682135884341
4,13,Frequency,Caatinga,1989,0.7153189352084379,0.34071690575502833,0.38440853742950115,0.34071690575502833,0.3576823862466654,0.27063022892881927
5,13,Frequency,Caatinga,1990,0.7064791562029131,0.3299817317939141,0.3584340558142264,0.3299817317939141,0.34121146163058796,0.2571604542967537
6,13,Frequency,Caatinga,1991,0.7105976896032145,0.3327593378876071,0.3767866006420678,0.3327593378876071,0.3500866722874434,0.2609967775406508
7,13,Frequency,Caatinga,1992,0.708488196885987,0.3350759816142331,0.37943208135846007,0.3350759816142331,0.3525152462035328,0.2629762307329099
8,13,Frequency,Caatinga,1993,0.7157207433450528,0.33525822275363837,0.3894682473772193,0.33525822275363837,0.35535076671534743,0.2638575042564961
9,13,Frequency,Caatinga,1994,0.7132094424912104,0.3412227702211134,0.39398988007440255,0.3412227702211134,0.36144331865499685,0.270417514149765
10,13,Frequency,Caatinga,1995,0.7129080863887494,0.33546451980083847,0.37641641561931205,0.33546451980083847,0.35294401710532397,0.26070682022742897
11,13,Frequency,Caatinga,1996,0.7090909090909091,0.33580870825114095,0.3747718758085131,0.33580870825114095,0.352514025170088,0.26036840209837714
12,13,Frequency,Caatinga,1997,0.7094927172275238,0.3419743807874978,0.38766292307666816,0.3419743807874978,0.36134896437343667,0.2695493984659577
13,13,Frequency,Caatinga,1998,0.7122049221496736,0.32597470968706577,0.3872638064245606,0.32597470968706577,0.3497909734411652,0.2607374965526451
14,13,Frequency,Caatinga,1999,0.7065796082370668,0.31722784680069394,0.3821856624372558,0.31722784680069394,0.3409918111145787,0.2529938708708759
15,13,Frequency,Caatinga,2000,0.7104972375690608,0.3333756498350747,0.38421077821996674,0.3333756498350747,0.35424403089502066,0.262108013413833
16,13,Frequency,Caatinga,2001,0.7194374686087394,0.3254698218345614,0.3864486135476303,0.3254698218345614,0.3492570119730399,0.260610957108808
17,13,Frequency,Caatinga,2002,0.7236564540431943,0.3307028008151739,0.3926112230212807,0.3307028008151739,0.3547596324027227,0.26462311548006856
18,13,Frequency,Caatinga,2003,0.7177297840281266,0.32510404458280434,0.3956937327666301,0.32510404458280434,0.34981029388716883,0.2635449435042382
19,13,Frequency,Caatinga,2004,0.716926167754897,0.3490791082817213,0.390650190911788,0.3490791082817213,0.36495718984635095,0.27635404504431815
20,13,Frequency,Caatinga,2005,0.7176293319939728,0.3544728444401157,0.3992769097584079,0.3544728444401157,0.3730950189622142,0.28223776953198815
21,13,Frequency,Caatinga,2006,0.7118031140130587,0.3449618890720094,0.3995581032526644,0.3449618890720094,0.3656689721636679,0.2754628004410676
22,13,Frequency,Caatinga,2007,0.7160220994475138,0.34518052385343,0.393480293567836,0.34518052385343,0.3643202101694779,0.2755279725757389
23,13,Frequency,Caatinga,2008,0.7196383726770467,0.3503563937382479,0.40218835587887997,0.3503563937382479,0.3707138893099069,0.27958012766857293
24,13,Frequency,Caatinga,2009,0.7144148669010547,0.3410752909589796,0.3840414630981398,0.3410752909589796,0.35822244130109837,0.27235305811765476
25,13,Frequency,Caatinga,2010,0.716624811652436,0.3432470455664968,0.38700408856732565,0.3432470455664968,0.36077879260513224,0.274019092358404
26,13,Frequency,Caatinga,2011,0.7203415369161226,0.341903018072788,0.40038007088681243,0.341903018072788,0.3649457799077651,0.2773438958657865
27,13,Frequency,Caatinga,2012,0.7310899045705676,0.3386184571668328,0.39171166571477894,0.3386184571668328,0.3582727394809271,0.27231832857950633
28,13,Frequency,Caatinga,2013,0.7360120542440984,0.33439401856602724,0.4138136484523759,0.33439401856602724,0.3622432832548511,0.2739106260337468
29,13,Frequency,Caatinga,2014,0.7338021094927172,0.33599998225766586,0.4119198085731907,0.33599998225766586,0.36451454036253456,0.27144364739436416
30,13,Frequency,Caatinga,2015,0.7346057257659467,0.3365484761202934,0.4142692336873893,0.3365484761202934,0.36568105178591276,0.2719008661169059
31,13,Frequency,Caatinga,2016,0.733902561526871,0.38355632477776525,0.472609577013111,0.38355632477776525,0.41669692133011516,0.3089065745149564
32,13,Frequency,Caatinga,2017,0.7301858362631843,0.3202626558065327,0.4110128578029627,0.3202626558065327,0.35067754544573404,0.26095037449999325
33,13,Frequency,Caatinga,2018,0.7270718232044199,0.3398721216915278,0.42253314003220976,0.3398721216915278,0.3702981646410596,0.2751255674397837
34,13,Frequency,Caatinga,2019,0.7224510296333501,0.33022641673629044,0.40122699132758793,0.33022641673629044,0.3553826401992045,0.26437916362742386
35,13,Frequency,Caatinga,2020,0.7196383726770467,0.3390826261479398,0.40394265144300445,0.3390826261479398,0.3637842830181968,0.269096106421607
36,13,Frequency,Caatinga,2021,0.7155198392767453,0.3318810660841327,0.4021834973434231,0.3318810660841327,0.3584721655937244,0.26522287019144003
37,13,Frequency,Caatinga,2022,0.71401305876444,0.3390355915879873,0.42372927810033845,0.3390355915879873,0.36961301142607206,0.2726309194672739
38,13,Frequency,741,1985,0.8272727272727273,0.4461685823754789,0.4874862486248625,0.4461685823754789,0.4366741321388578,0.377123786407767
39,13,Frequency,741,1986,0.8181818181818182,0.521203830369357,0.6,0.521203830369357,0.5208510638297872,0.45393743257820934
40,13,Frequency,741,1987,0.8181818181818182,0.5478696741854636,0.5085034013605442,0.4565580618212197,0.46428571428571425,0.3985714285714286
41,13,Frequency,741,1988,0.8181818181818182,0.5551807228915664,0.6051055473735886,0.5551807228915664,0.5488888888888889,0.4707792207792208
42,13,Frequency,741,1989,0.8181818181818182,0.5551807228915664,0.6051055473735886,0.5551807228915664,0.5488888888888889,0.4707792207792208
43,13,Frequency,741,1990,0.8090909090909091,0.46260162601626015,0.48467926689576174,0.46260162601626015,0.4537376961957967,0.3884680134680134
44,13,Frequency,741,1991,0.7636363636363637,0.5198653198653198,0.5242424242424242,0.5198653198653198,0.4961904761904762,0.42694117647058827
45,13,Frequency,741,1992,0.7636363636363637,0.4322509631260319,0.6877887788778878,0.4322509631260319,0.4951724137931034,0.38494117647058823
46,13,Frequency,741,1993,0.7727272727272727,0.4471106219042378,0.5904761904761904,0.4471106219042378,0.4823446327683616,0.3668205128205128
47,13,Frequency,741,1994,0.7636363636363637,0.4448717948717949,0.5916305916305916,0.4448717948717949,0.46250410060142155,0.34849504950495047
48,13,Frequency,741,1995,0.7636363636363637,0.40184875510962464,0.5685185185185185,0.40184875510962464,0.42596179714823784,0.31444444444444447
49,13,Frequency,741,1996,0.7636363636363637,0.3615266589950134,0.49242424242424243,0.3615266589950134,0.3881309077938291,0.2966666666666667
50,13,Frequency,741,1997,0.8,0.5454545454545455,0.5235690235690236,0.4545454545454546,0.45849960095770154,0.39313424096032795
51,13,Frequency,741,1998,0.7909090909090909,0.5363636363636364,0.7184158415841584,0.5363636363636364,0.5693881727030898,0.49319845027981063
52,13,Frequency,741,1999,0.8,0.5380952380952382,0.7203960396039604,0.5380952380952382,0.5728937728937729,0.4967596759675968
53,13,Frequency,741,2000,0.8181818181818182,0.5571428571428572,0.6153061224489795,0.5571428571428572,0.563764207281834,0.4841467021591246
54,13,Frequency,741,2001,0.8090909090909091,0.5545454545454545,0.613265306122449,0.5545454545454545,0.5597752808988764,0.4799319727891156
55,13,Frequency,741,2002,0.8090909090909091,0.5666666666666667,0.6224999999999999,0.5666666666666667,0.5734279918864098,0.4907051282051282
56,13,Frequency,741,2003,0.7818181818181819,0.548,0.5804166666666667,0.548,0.5466061106523534,0.468462643678161
57,13,Frequency,741,2004,0.7545454545454545,0.5307692307692308,0.5853333333333334,0.5307692307692308,0.5227272727272727,0.4472380952380952
58,13,Frequency,741,2005,0.7636363636363637,0.5384615384615385,0.4996318114874816,0.44871794871794873,0.44694050329888474,0.3825683194239895
59,13,Frequency,741,2006,0.7454545454545455,0.5331983805668017,0.5760204081632653,0.5331983805668017,0.5289384719405004,0.44914942528735635
60,13,Frequency,741,2007,0.7545454545454545,0.5465185185185185,0.5920833333333333,0.5465185185185185,0.5464359095938043,0.46231292517006806
61,13,Frequency,741,2008,0.7727272727272727,0.5461538461538462,0.6249639249639249,0.5461538461538462,0.5464415584415584,0.46464646464646464
62,13,Frequency,741,2009,0.7818181818181819,0.5534025974025975,0.6301020408163265,0.5534025974025975,0.5585627705627706,0.47404817404817406
63,13,Frequency,741,2010,0.7727272727272727,0.5616103896103896,0.5872670807453416,0.5616103896103896,0.5650887573964497,0.47874999999999995
64,13,Frequency,741,2011,0.7818181818181819,0.5696103896103896,0.5937728937728938,0.5696103896103896,0.5738095238095238,0.487017543859649
65,13,Frequency,741,2012,0.7909090909090909,0.5668051948051949,0.4945054945054945,0.47233766233766233,0.47573260073260076,0.4066308243727598
66,13,Frequency,741,2013,0.7818181818181819,0.5589068825910932,0.6912280701754386,0.5589068825910932,0.5929824561403508,0.5095833333333333
67,13,Frequency,741,2014,0.7818181818181819,0.38672438672438664,0.5706492089470813,0.38672438672438664,0.4424424424424424,0.34597701149425286
68,13,Frequency,741,2015,0.8,0.396413972500929,0.5784690220174091,0.396413972500929,0.45340076919024286,0.35676291793313064
69,13,Frequency,741,2016,0.7909090909090909,0.3891675956893348,0.5738902674386546,0.3891675956893348,0.44639376218323584,0.3508105369807497
70,13,Frequency,741,2017,0.7818181818181819,0.3821442270809359,0.47773642128480837,0.3821442270809359,0.4103359173126615,0.31564327485380117
71,13,Frequency,741,2018,0.8181818181818182,0.40267857142857144,0.5054555373704309,0.40267857142857144,0.4340207347306739,0.33748538011695906
72,13,Frequency,741,2019,0.8090909090909091,0.4701388888888889,0.4946570972886762,0.4701388888888889,0.47339285714285717,0.4060416666666667
73,13,Frequency,741,2020,0.7818181818181819,0.4521825396825397,0.4766132111492936,0.4521825396825397,0.4524482109227872,0.38686868686868686
74,13,Frequency,741,2021,0.7909090909090909,0.4601190476190476,0.48541666666666666,0.4601190476190476,0.46224340175953077,0.394875283446712
75,13,Frequency,741,2022,0.7818181818181819,0.4579018028385116,0.4836805555555556,0.4579018028385116,0.45916666666666667,0.39163614163614163
76,13,Frequency,7421,1985,0.8690476190476191,0.23726027397260271,0.24894514767932488,0.23726027397260271,0.23947368421052628,0.20857142857142857
77,13,Frequency,7421,1986,0.9047619047619048,0.35376447876447875,0.4185126582278481,0.35376447876447875,0.37492572786690437,0.321875
78,13,Frequency,7421,1987,0.9166666666666666,0.4965753424657534,0.49,0.4965753424657534,0.48610038610038614,0.39934210526315783
79,13,Frequency,7421,1988,0.9166666666666666,0.5104166666666667,0.45600000000000007,0.4083333333333334,0.42653061224489797,0.35350877192982455
80,13,Frequency,7421,1989,0.9047619047619048,0.3611111111111111,0.4278481012658228,0.3611111111111111,0.3812677388836329,0.32784810126582276
81,13,Frequency,7421,1990,0.9285714285714286,0.41666666666666663,0.44805194805194803,0.41666666666666663,0.42911073825503354,0.38376623376623376
82,13,Frequency,7421,1991,0.8928571428571429,0.3714788732394366,0.40883458646616544,0.3714788732394366,0.3851540616246498,0.3314393939393939
83,13,Frequency,7421,1992,0.8452380952380952,0.447463768115942,0.6099624060150376,0.447463768115942,0.4995160314579552,0.40052742616033754
84,13,Frequency,7421,1993,0.8690476190476191,0.377262443438914,0.4010273972602739,0.377262443438914,0.38621646623496764,0.329375
85,13,Frequency,7421,1994,0.8333333333333334,0.35530303030303034,0.37484433374844334,0.35530303030303034,0.36123408965135584,0.2993421052631579
86,13,Frequency,7421,1995,0.8333333333333334,0.3634615384615385,0.307981220657277,0.2907692307692308,0.2966386554621849,0.24756756756756756
87,13,Frequency,7421,1996,0.8809523809523809,0.40240384615384617,0.41765980498374866,0.40240384615384617,0.4077079107505071,0.3538011695906432
88,13,Frequency,7421,1997,0.8333333333333334,0.33990384615384617,0.38288288288288286,0.33990384615384617,0.3502158273381295,0.292280701754386
89,13,Frequency,7421,1998,0.8214285714285714,0.33605769230769234,0.40033783783783783,0.33605769230769234,0.35161870503597126,0.2905701754385965
90,13,Frequency,7421,1999,0.8214285714285714,0.4662224264705882,0.4731220657276995,0.4662224264705882,0.4555555555555556,0.35608108108108105
91,13,Frequency,7421,2000,0.7976190476190477,0.4368106617647059,0.4484874429223744,0.4368106617647059,0.42262773722627733,0.32565789473684215
92,13,Frequency,7421,2001,0.8214285714285714,0.4554227941176471,0.483162100456621,0.4554227941176471,0.44627737226277375,0.3481140350877193
93,13,Frequency,7421,2002,0.8214285714285714,0.4662224264705882,0.6339041095890411,0.4662224264705882,0.5189240335225737,0.41315789473684217
94,13,Frequency,7421,2003,0.7857142857142857,0.3118106617647059,0.3623310810810811,0.3118106617647059,0.3210144927536232,0.26055194805194803
95,13,Frequency,7421,2004,0.7857142857142857,0.3010110294117647,0.34680451127819545,0.3010110294117647,0.30476190476190473,0.24871794871794872
96,13,Frequency,7421,2005,0.7857142857142857,0.3226102941176471,0.3446969696969697,0.3226102941176471,0.3277310924369748,0.26555023923444976
97,13,Frequency,7421,2006,0.8095238095238095,0.3412224264705882,0.3576388888888889,0.3412224264705882,0.34495436105476673,0.2828787878787879
98,13,Frequency,7421,2007,0.8333333333333334,0.36818181818181817,0.36428571428571427,0.36818181818181817,0.3658722109533469,0.30469755469755466
99,13,Frequency,7421,2008,0.8690476190476191,0.39952025586353945,0.3925983436853002,0.39952025586353945,0.3960084033613446,0.34064327485380114
100,13,Frequency,7421,2009,0.8809523809523809,0.38912579957356075,0.422972972972973,0.38912579957356075,0.400709219858156,0.345
101,13,Frequency,7421,2010,0.8571428571428571,0.38166311300639655,0.38888888888888884,0.38166311300639655,0.38406198118428336,0.3244444444444444
102,13,Frequency,7421,2011,0.8809523809523809,0.4173773987206823,0.40714285714285714,0.4173773987206823,0.41214807090719496,0.3580669710806697
103,13,Frequency,7421,2012,0.8690476190476191,0.31125541125541123,0.326010101010101,0.31125541125541123,0.3164057971014492,0.2721998388396455
104,13,Frequency,7421,2013,0.8333333333333334,0.46105769230769234,0.5253378378378378,0.46105769230769234,0.47661870503597126,0.3739035087719298
105,13,Frequency,7421,2014,0.8095238095238095,0.4303030303030303,0.35355512067840833,0.34424242424242424,0.33402223675604975,0.260233918128655
106,13,Frequency,7421,2015,0.8214285714285714,0.45984848484848484,0.3862337662337662,0.36787878787878786,0.3746606334841629,0.2942342342342342
107,13,Frequency,7421,2016,0.8571428571428571,0.4840909090909091,0.4333333333333333,0.3872727272727273,0.4021739130434783,0.32199258081611026
108,13,Frequency,7421,2017,0.8690476190476191,0.5007575757575757,0.5472222222222223,0.5007575757575757,0.5168840579710146,0.4171966083730789
